Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,FEB FY2015,30,2015-02-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,MAR FY2015,5,2015-03-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2015,APR FY2015,4,2015-04-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,MAY FY2015,1,2015-05-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUN FY2015,7,2015-06-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2015,JUL FY2015,99,2015-07-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,JAN FY2022,60,2016-01-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,FEB FY2022,27,2016-02-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,MAR FY2022,56,2016-03-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2022,APR FY2022,16,2016-04-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,MAY FY2022,14,2016-05-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,JUN FY2022,94,2016-06-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2022,JUL FY2022,125,2016-07-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,AUG FY2022,4,2016-08-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,SEP FY2022,17,2016-09-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2022,OCT FY2022,12,2016-10-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,NOV FY2022,3,2016-11-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2022,DEC FY2022,28,2016-12-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,JAN FY2002,46,2017-01-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,FEB FY2002,23,2017-02-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,MAR FY2002,27,2017-03-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2002,APR FY2002,761,2017-04-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,MAY FY2002,37,2017-05-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,JUN FY2002,73,2017-06-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2002,JUL FY2002,194,2017-07-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,AUG FY2002,4,2017-08-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,SEP FY2002,96,2017-09-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2002,OCT FY2002,81,2017-10-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,NOV FY2002,36,2017-11-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2002,DEC FY2002,102,2017-12-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,JAN FY2008,100,2018-01-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,FEB FY2008,52,2018-02-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,MAR FY2008,267,2018-03-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2008,APR FY2008,65,2018-04-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,MAY FY2008,33,2018-05-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,JUN FY2008,371,2018-06-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2008,JUL FY2008,972,2018-07-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,AUG FY2008,39,2018-08-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,SEP FY2008,138,2018-09-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2008,OCT FY2008,91,2018-10-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,NOV FY2008,31,2018-11-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2008,DEC FY2008,75,2018-12-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,JAN FY2007,928,2019-01-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,FEB FY2007,540,2019-02-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,MAR FY2007,519,2019-03-01
IOTBU,IE4000,IE-4000-8T4G-E,Q3 FY2007,APR FY2007,790,2019-04-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,MAY FY2007,813,2019-05-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUN FY2007,463,2019-06-01
IOTBU,IE4000,IE-4000-8T4G-E,Q4 FY2007,JUL FY2007,229,2019-07-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,AUG FY2007,54,2019-08-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,SEP FY2007,108,2019-09-01
IOTBU,IE4000,IE-4000-8T4G-E,Q1 FY2007,OCT FY2007,414,2019-10-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,NOV FY2007,210,2019-11-01
IOTBU,IE4000,IE-4000-8T4G-E,Q2 FY2007,DEC FY2007,254,2019-12-01
