Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,4300ISR,ISR4331/K9,Q3 FY2014,MAR FY2014,0,2014-03-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUN FY2014,1,2014-06-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2014,JUL FY2014,0,2014-07-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2015,JAN FY2015,1640,2015-01-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,FEB FY2015,2200,2015-02-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,MAR FY2015,3194,2015-03-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2015,APR FY2015,4543,2015-04-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,MAY FY2015,2893,2015-05-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,JUN FY2015,5781,2015-06-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2015,JUL FY2015,7933,2015-07-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2015,AUG FY2015,3,2015-08-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2015,SEP FY2015,35,2015-09-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2015,OCT FY2015,638,2015-10-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2015,NOV FY2015,897,2015-11-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2015,DEC FY2015,1741,2015-12-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2022,JAN FY2022,5946,2016-01-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2022,FEB FY2022,5464,2016-02-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2022,MAR FY2022,6019,2016-03-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2022,APR FY2022,8857,2016-04-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2022,MAY FY2022,6681,2016-05-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2022,JUN FY2022,9801,2016-06-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2022,JUL FY2022,18472,2016-07-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2022,AUG FY2022,2217,2016-08-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2022,SEP FY2022,3479,2016-09-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2022,OCT FY2022,6248,2016-10-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2022,NOV FY2022,3375,2016-11-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2022,DEC FY2022,5618,2016-12-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2002,JAN FY2002,15405,2017-01-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2002,FEB FY2002,10792,2017-02-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2002,MAR FY2002,13868,2017-03-01
SRSBU,4300ISR,ISR4331/K9,Q3 FY2002,APR FY2002,12891,2017-04-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2002,MAY FY2002,7351,2017-05-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2002,JUN FY2002,8802,2017-06-01
SRSBU,4300ISR,ISR4331/K9,Q4 FY2002,JUL FY2002,24058,2017-07-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2002,AUG FY2002,6655,2017-08-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2002,SEP FY2002,7874,2017-09-01
SRSBU,4300ISR,ISR4331/K9,Q1 FY2002,OCT FY2002,13249,2017-10-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2002,NOV FY2002,8742,2017-11-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2002,DEC FY2002,13128,2017-12-01
SRSBU,4300ISR,ISR4331/K9,Q2 FY2008,JAN FY2008,15649,2018-01-01
