Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N3000,N3K-C3432D-S,Q2 FY2011,JAN FY2011,7,2020-01-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2011,FEB FY2011,37,2020-02-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2011,MAR FY2011,2,2020-03-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2011,APR FY2011,38,2020-04-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2011,MAY FY2011,2,2020-05-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2011,JUN FY2011,1,2020-06-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2011,JUL FY2011,3,2020-07-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2011,OCT FY2011,5,2020-10-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2011,NOV FY2011,2,2020-11-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2011,DEC FY2011,2,2020-12-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2012,JAN FY2012,3,2021-01-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2012,FEB FY2012,0,2021-02-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2012,MAR FY2012,1,2021-03-01
QKBU,N3000,N3K-C3432D-S,Q3 FY2012,APR FY2012,10,2021-04-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2012,MAY FY2012,35,2021-05-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2012,JUN FY2012,3,2021-06-01
QKBU,N3000,N3K-C3432D-S,Q4 FY2012,JUL FY2012,72,2021-07-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2012,AUG FY2012,0,2021-08-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2012,SEP FY2012,3,2021-09-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2012,OCT FY2012,4,2021-10-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2012,NOV FY2012,6,2021-11-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2012,DEC FY2012,7,2021-12-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2022,JAN FY2022,0,2022-01-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2022,AUG FY2022,0,2022-08-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2022,SEP FY2022,1,2022-09-01
QKBU,N3000,N3K-C3432D-S,Q1 FY2022,OCT FY2022,70,2022-10-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2022,NOV FY2022,226,2022-11-01
QKBU,N3000,N3K-C3432D-S,Q2 FY2022,DEC FY2022,1,2022-12-01
