Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2008,MAR FY2008,1,2018-03-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2008,APR FY2008,225,2018-04-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,MAY FY2008,58,2018-05-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,JUN FY2008,91,2018-06-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2008,JUL FY2008,158,2018-07-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,JAN FY2007,193,2019-01-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,FEB FY2007,357,2019-02-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,MAR FY2007,301,2019-03-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2007,APR FY2007,528,2019-04-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,MAY FY2007,235,2019-05-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUN FY2007,402,2019-06-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2007,JUL FY2007,541,2019-07-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,AUG FY2007,42,2019-08-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,SEP FY2007,160,2019-09-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2007,OCT FY2007,2622,2019-10-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,NOV FY2007,156,2019-11-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2007,DEC FY2007,152,2019-12-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,JAN FY2011,167,2020-01-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,FEB FY2011,382,2020-02-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,MAR FY2011,339,2020-03-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2011,APR FY2011,473,2020-04-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,MAY FY2011,525,2020-05-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,JUN FY2011,475,2020-06-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2011,JUL FY2011,681,2020-07-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,AUG FY2011,109,2020-08-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,SEP FY2011,369,2020-09-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2011,OCT FY2011,594,2020-10-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,NOV FY2011,746,2020-11-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2011,DEC FY2011,434,2020-12-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2012,JAN FY2012,886,2021-01-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2012,FEB FY2012,865,2021-02-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2012,MAR FY2012,337,2021-03-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q3 FY2012,APR FY2012,64,2021-04-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2012,MAY FY2012,215,2021-05-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2012,JUN FY2012,934,2021-06-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q4 FY2012,JUL FY2012,988,2021-07-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2012,AUG FY2012,67,2021-08-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2012,SEP FY2012,100,2021-09-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2012,OCT FY2012,324,2021-10-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2012,NOV FY2012,181,2021-11-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2012,DEC FY2012,913,2021-12-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2022,JAN FY2022,23,2022-01-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2022,AUG FY2022,45,2022-08-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2022,SEP FY2022,1336,2022-09-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q1 FY2022,OCT FY2022,1809,2022-10-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2022,NOV FY2022,769,2022-11-01
BATBU,NCS540,N540-24Z8Q2C-SYS,Q2 FY2022,DEC FY2022,296,2022-12-01
