Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS540,N540-ACC-SYS,Q2 FY2007,JAN FY2007,41,2019-01-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,FEB FY2007,1511,2019-02-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,MAR FY2007,6,2019-03-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2007,APR FY2007,441,2019-04-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,MAY FY2007,164,2019-05-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUN FY2007,435,2019-06-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2007,JUL FY2007,2795,2019-07-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,JAN FY2011,169,2020-01-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,FEB FY2011,496,2020-02-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,MAR FY2011,878,2020-03-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2011,APR FY2011,1065,2020-04-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,MAY FY2011,345,2020-05-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,JUN FY2011,1575,2020-06-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2011,JUL FY2011,1325,2020-07-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,AUG FY2011,2056,2020-08-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,SEP FY2011,475,2020-09-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2011,OCT FY2011,982,2020-10-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,NOV FY2011,1220,2020-11-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2011,DEC FY2011,878,2020-12-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,JAN FY2012,1058,2021-01-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,FEB FY2012,616,2021-02-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,MAR FY2012,4056,2021-03-01
BATBU,NCS540,N540-ACC-SYS,Q3 FY2012,APR FY2012,3549,2021-04-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,MAY FY2012,588,2021-05-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,JUN FY2012,804,2021-06-01
BATBU,NCS540,N540-ACC-SYS,Q4 FY2012,JUL FY2012,3134,2021-07-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,AUG FY2012,1924,2021-08-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,SEP FY2012,462,2021-09-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2012,OCT FY2012,2173,2021-10-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,NOV FY2012,638,2021-11-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2012,DEC FY2012,2925,2021-12-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2022,JAN FY2022,3829,2022-01-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,AUG FY2022,1250,2022-08-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,SEP FY2022,588,2022-09-01
BATBU,NCS540,N540-ACC-SYS,Q1 FY2022,OCT FY2022,1581,2022-10-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2022,NOV FY2022,1784,2022-11-01
BATBU,NCS540,N540-ACC-SYS,Q2 FY2022,DEC FY2022,811,2022-12-01
