Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS540,N540-PWR400-D,Q3 FY2008,MAR FY2008,4,2018-03-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2008,APR FY2008,42,2018-04-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2008,MAY FY2008,446,2018-05-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2008,JUN FY2008,274,2018-06-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2008,JUL FY2008,170,2018-07-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2007,JAN FY2007,224,2019-01-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2007,FEB FY2007,639,2019-02-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2007,MAR FY2007,598,2019-03-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2007,APR FY2007,1643,2019-04-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,MAY FY2007,597,2019-05-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUN FY2007,1515,2019-06-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2007,JUL FY2007,5862,2019-07-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2007,AUG FY2007,2,2019-08-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2007,SEP FY2007,216,2019-09-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2007,OCT FY2007,5074,2019-10-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2007,NOV FY2007,50,2019-11-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2007,DEC FY2007,114,2019-12-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2011,JAN FY2011,558,2020-01-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2011,FEB FY2011,1590,2020-02-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2011,MAR FY2011,1552,2020-03-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2011,APR FY2011,2710,2020-04-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2011,MAY FY2011,1563,2020-05-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2011,JUN FY2011,3394,2020-06-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2011,JUL FY2011,4323,2020-07-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2011,AUG FY2011,4170,2020-08-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2011,SEP FY2011,1426,2020-09-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2011,OCT FY2011,2814,2020-10-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2011,NOV FY2011,3774,2020-11-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2011,DEC FY2011,2439,2020-12-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2012,JAN FY2012,3956,2021-01-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2012,FEB FY2012,2629,2021-02-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2012,MAR FY2012,8172,2021-03-01
BATBU,NCS540,N540-PWR400-D,Q3 FY2012,APR FY2012,7158,2021-04-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2012,MAY FY2012,1075,2021-05-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2012,JUN FY2012,3777,2021-06-01
BATBU,NCS540,N540-PWR400-D,Q4 FY2012,JUL FY2012,8149,2021-07-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2012,AUG FY2012,3872,2021-08-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2012,SEP FY2012,1003,2021-09-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2012,OCT FY2012,6169,2021-10-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2012,NOV FY2012,1426,2021-11-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2012,DEC FY2012,8000,2021-12-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2022,JAN FY2022,6585,2022-01-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2022,AUG FY2022,2525,2022-08-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2022,SEP FY2022,3723,2022-09-01
BATBU,NCS540,N540-PWR400-D,Q1 FY2022,OCT FY2022,6515,2022-10-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2022,NOV FY2022,4312,2022-11-01
BATBU,NCS540,N540-PWR400-D,Q2 FY2022,DEC FY2022,2329,2022-12-01
