Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,JAN FY2011,3,2020-01-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,FEB FY2011,1402,2020-02-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,MAR FY2011,955,2020-03-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2011,APR FY2011,6,2020-04-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,MAY FY2011,713,2020-05-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,JUN FY2011,110,2020-06-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2011,JUL FY2011,307,2020-07-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,AUG FY2011,1,2020-08-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,SEP FY2011,16,2020-09-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2011,OCT FY2011,6,2020-10-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,NOV FY2011,23,2020-11-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2011,DEC FY2011,352,2020-12-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,JAN FY2012,4586,2021-01-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,FEB FY2012,1817,2021-02-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,MAR FY2012,1324,2021-03-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q3 FY2012,APR FY2012,1355,2021-04-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,MAY FY2012,3408,2021-05-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,JUN FY2012,3469,2021-06-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q4 FY2012,JUL FY2012,401,2021-07-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,AUG FY2012,114,2021-08-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,SEP FY2012,101,2021-09-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2012,OCT FY2012,1077,2021-10-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,NOV FY2012,51,2021-11-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2012,DEC FY2012,972,2021-12-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2022,JAN FY2022,1327,2022-01-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,AUG FY2022,124,2022-08-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,SEP FY2022,149,2022-09-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q1 FY2022,OCT FY2022,675,2022-10-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2022,NOV FY2022,1441,2022-11-01
BATBU,NCS540,N540X-12Z16G-SYS-D,Q2 FY2022,DEC FY2022,3840,2022-12-01
