Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS540,N540X-6Z18G-SYS-A,Q2 FY2012,JAN FY2012,7,2021-01-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q3 FY2012,FEB FY2012,8,2021-02-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q3 FY2012,MAR FY2012,177,2021-03-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q3 FY2012,APR FY2012,214,2021-04-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q4 FY2012,MAY FY2012,490,2021-05-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q4 FY2012,JUN FY2012,30,2021-06-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q4 FY2012,JUL FY2012,21,2021-07-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q2 FY2012,NOV FY2012,1,2021-11-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q2 FY2022,JAN FY2022,3998,2022-01-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q1 FY2022,AUG FY2022,109,2022-08-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q1 FY2022,SEP FY2022,27,2022-09-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q1 FY2022,OCT FY2022,98,2022-10-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q2 FY2022,NOV FY2022,324,2022-11-01
BATBU,NCS540,N540X-6Z18G-SYS-A,Q2 FY2022,DEC FY2022,1251,2022-12-01
