Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS560,N560-4-RSP4,Q3 FY2007,APR FY2007,4,2019-04-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUN FY2007,1,2019-06-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2007,JUL FY2007,22,2019-07-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2011,JAN FY2011,1003,2020-01-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2011,FEB FY2011,723,2020-02-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2011,MAR FY2011,105,2020-03-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2011,APR FY2011,219,2020-04-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2011,MAY FY2011,1249,2020-05-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2011,JUN FY2011,51,2020-06-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2011,JUL FY2011,115,2020-07-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2011,AUG FY2011,23,2020-08-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2011,SEP FY2011,29,2020-09-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2011,OCT FY2011,1021,2020-10-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2011,NOV FY2011,2001,2020-11-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2011,DEC FY2011,1114,2020-12-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2012,JAN FY2012,329,2021-01-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2012,FEB FY2012,221,2021-02-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2012,MAR FY2012,638,2021-03-01
BATBU,NCS560,N560-4-RSP4,Q3 FY2012,APR FY2012,36,2021-04-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2012,MAY FY2012,7,2021-05-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2012,JUN FY2012,15,2021-06-01
BATBU,NCS560,N560-4-RSP4,Q4 FY2012,JUL FY2012,498,2021-07-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2012,AUG FY2012,1734,2021-08-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2012,SEP FY2012,86,2021-09-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2012,OCT FY2012,46,2021-10-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2012,NOV FY2012,88,2021-11-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2012,DEC FY2012,11,2021-12-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2022,JAN FY2022,1444,2022-01-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2022,AUG FY2022,12,2022-08-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2022,SEP FY2022,30,2022-09-01
BATBU,NCS560,N560-4-RSP4,Q1 FY2022,OCT FY2022,58,2022-10-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2022,NOV FY2022,8,2022-11-01
BATBU,NCS560,N560-4-RSP4,Q2 FY2022,DEC FY2022,3173,2022-12-01
