Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C92348GC-X,Q4 FY2007,JUL FY2007,3,2019-07-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2011,JAN FY2011,208,2020-01-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2011,FEB FY2011,111,2020-02-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2011,MAR FY2011,186,2020-03-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2011,APR FY2011,388,2020-04-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2011,MAY FY2011,594,2020-05-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2011,JUN FY2011,384,2020-06-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2011,JUL FY2011,2629,2020-07-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2011,AUG FY2011,1,2020-08-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2011,SEP FY2011,0,2020-09-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2011,OCT FY2011,76,2020-10-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2011,NOV FY2011,29,2020-11-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2011,DEC FY2011,76,2020-12-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2012,JAN FY2012,1077,2021-01-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2012,FEB FY2012,1042,2021-02-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2012,MAR FY2012,1014,2021-03-01
QKBU,N9300,N9K-C92348GC-X,Q3 FY2012,APR FY2012,1167,2021-04-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2012,MAY FY2012,1964,2021-05-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2012,JUN FY2012,2548,2021-06-01
QKBU,N9300,N9K-C92348GC-X,Q4 FY2012,JUL FY2012,2332,2021-07-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2012,AUG FY2012,463,2021-08-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2012,SEP FY2012,1077,2021-09-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2012,OCT FY2012,1260,2021-10-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2012,NOV FY2012,741,2021-11-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2012,DEC FY2012,779,2021-12-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2022,JAN FY2022,1161,2022-01-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2022,AUG FY2022,1037,2022-08-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2022,SEP FY2022,708,2022-09-01
QKBU,N9300,N9K-C92348GC-X,Q1 FY2022,OCT FY2022,2314,2022-10-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2022,NOV FY2022,1179,2022-11-01
QKBU,N9300,N9K-C92348GC-X,Q2 FY2022,DEC FY2022,4289,2022-12-01
