Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2002,APR FY2002,5,2017-04-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,MAY FY2002,35,2017-05-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,JUN FY2002,16,2017-06-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2002,JUL FY2002,831,2017-07-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,JAN FY2008,353,2018-01-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,FEB FY2008,203,2018-02-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,MAR FY2008,373,2018-03-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2008,APR FY2008,534,2018-04-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,MAY FY2008,178,2018-05-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,JUN FY2008,309,2018-06-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2008,JUL FY2008,1231,2018-07-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,AUG FY2008,31,2018-08-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,SEP FY2008,120,2018-09-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2008,OCT FY2008,99,2018-10-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,NOV FY2008,54,2018-11-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2008,DEC FY2008,110,2018-12-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,JAN FY2007,798,2019-01-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,FEB FY2007,328,2019-02-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,MAR FY2007,739,2019-03-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2007,APR FY2007,1298,2019-04-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,MAY FY2007,509,2019-05-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUN FY2007,499,2019-06-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2007,JUL FY2007,1857,2019-07-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,AUG FY2007,285,2019-08-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,SEP FY2007,266,2019-09-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2007,OCT FY2007,778,2019-10-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,NOV FY2007,166,2019-11-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2007,DEC FY2007,992,2019-12-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,JAN FY2011,1168,2020-01-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,FEB FY2011,492,2020-02-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,MAR FY2011,718,2020-03-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2011,APR FY2011,1774,2020-04-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,MAY FY2011,938,2020-05-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,JUN FY2011,867,2020-06-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2011,JUL FY2011,4316,2020-07-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,AUG FY2011,487,2020-08-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,SEP FY2011,870,2020-09-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2011,OCT FY2011,1489,2020-10-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,NOV FY2011,1160,2020-11-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2011,DEC FY2011,895,2020-12-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,JAN FY2012,1653,2021-01-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,FEB FY2012,1244,2021-02-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,MAR FY2012,1552,2021-03-01
QKBU,N9300,N9K-C93108TC-FX,Q3 FY2012,APR FY2012,1999,2021-04-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,MAY FY2012,2133,2021-05-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,JUN FY2012,4121,2021-06-01
QKBU,N9300,N9K-C93108TC-FX,Q4 FY2012,JUL FY2012,4456,2021-07-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,AUG FY2012,618,2021-08-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,SEP FY2012,704,2021-09-01
QKBU,N9300,N9K-C93108TC-FX,Q1 FY2012,OCT FY2012,1711,2021-10-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,NOV FY2012,1078,2021-11-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2012,DEC FY2012,856,2021-12-01
QKBU,N9300,N9K-C93108TC-FX,Q2 FY2022,JAN FY2022,1668,2022-01-01
