Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2011,JUL FY2011,4,2020-07-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,JAN FY2012,31,2021-01-01
QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,FEB FY2012,62,2021-02-01
QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,MAR FY2012,122,2021-03-01
QKBU,N9300,N9K-C93108TC-FX3P,Q3 FY2012,APR FY2012,121,2021-04-01
QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,MAY FY2012,96,2021-05-01
QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,JUN FY2012,273,2021-06-01
QKBU,N9300,N9K-C93108TC-FX3P,Q4 FY2012,JUL FY2012,626,2021-07-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,AUG FY2012,2,2021-08-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,SEP FY2012,6,2021-09-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2012,OCT FY2012,0,2021-10-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,NOV FY2012,1,2021-11-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2012,DEC FY2012,4,2021-12-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2022,JAN FY2022,1640,2022-01-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,AUG FY2022,215,2022-08-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,SEP FY2022,807,2022-09-01
QKBU,N9300,N9K-C93108TC-FX3P,Q1 FY2022,OCT FY2022,1166,2022-10-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2022,NOV FY2022,798,2022-11-01
QKBU,N9300,N9K-C93108TC-FX3P,Q2 FY2022,DEC FY2022,1443,2022-12-01
