Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2008,JAN FY2008,1100,2018-01-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2008,FEB FY2008,13,2018-02-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2008,MAR FY2008,882,2018-03-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2008,APR FY2008,703,2018-04-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2008,MAY FY2008,1078,2018-05-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2008,JUN FY2008,274,2018-06-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2008,JUL FY2008,335,2018-07-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2007,JAN FY2007,327,2019-01-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2007,FEB FY2007,567,2019-02-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2007,MAR FY2007,469,2019-03-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2007,APR FY2007,814,2019-04-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,MAY FY2007,746,2019-05-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,JUN FY2007,749,2019-06-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2007,JUL FY2007,1480,2019-07-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2007,AUG FY2007,248,2019-08-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2007,SEP FY2007,1057,2019-09-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2007,OCT FY2007,525,2019-10-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2007,NOV FY2007,254,2019-11-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2007,DEC FY2007,399,2019-12-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2011,JAN FY2011,1325,2020-01-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2011,FEB FY2011,500,2020-02-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2011,MAR FY2011,1026,2020-03-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2011,APR FY2011,1400,2020-04-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2011,MAY FY2011,1204,2020-05-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2011,JUN FY2011,548,2020-06-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2011,JUL FY2011,2476,2020-07-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2011,AUG FY2011,720,2020-08-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2011,SEP FY2011,611,2020-09-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2011,OCT FY2011,1145,2020-10-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2011,NOV FY2011,472,2020-11-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2011,DEC FY2011,758,2020-12-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2012,JAN FY2012,1777,2021-01-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2012,FEB FY2012,838,2021-02-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2012,MAR FY2012,1143,2021-03-01
QKBU,N9300,N9K-C93240YC-FX2,Q3 FY2012,APR FY2012,1677,2021-04-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2012,MAY FY2012,1529,2021-05-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2012,JUN FY2012,1268,2021-06-01
QKBU,N9300,N9K-C93240YC-FX2,Q4 FY2012,JUL FY2012,2433,2021-07-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2012,AUG FY2012,728,2021-08-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2012,SEP FY2012,583,2021-09-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2012,OCT FY2012,1412,2021-10-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2012,NOV FY2012,996,2021-11-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2012,DEC FY2012,1028,2021-12-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2022,JAN FY2022,2666,2022-01-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2022,AUG FY2022,1274,2022-08-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2022,SEP FY2022,719,2022-09-01
QKBU,N9300,N9K-C93240YC-FX2,Q1 FY2022,OCT FY2022,2826,2022-10-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2022,NOV FY2022,1003,2022-11-01
QKBU,N9300,N9K-C93240YC-FX2,Q2 FY2022,DEC FY2022,924,2022-12-01
