Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2008,JAN FY2008,16,2018-01-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,FEB FY2008,66,2018-02-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,MAR FY2008,255,2018-03-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2008,APR FY2008,466,2018-04-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,MAY FY2008,280,2018-05-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,JUN FY2008,671,2018-06-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2008,JUL FY2008,1077,2018-07-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2007,JAN FY2007,1422,2019-01-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,FEB FY2007,773,2019-02-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,MAR FY2007,1021,2019-03-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2007,APR FY2007,1775,2019-04-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,MAY FY2007,999,2019-05-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUN FY2007,1346,2019-06-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2007,JUL FY2007,2870,2019-07-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,AUG FY2007,367,2019-08-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,SEP FY2007,507,2019-09-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2007,OCT FY2007,1232,2019-10-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2007,NOV FY2007,873,2019-11-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2007,DEC FY2007,1176,2019-12-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2011,JAN FY2011,2219,2020-01-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2011,FEB FY2011,2092,2020-02-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2011,MAR FY2011,2583,2020-03-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2011,APR FY2011,4113,2020-04-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2011,MAY FY2011,1501,2020-05-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2011,JUN FY2011,1714,2020-06-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2011,JUL FY2011,2717,2020-07-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2011,AUG FY2011,1054,2020-08-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2011,SEP FY2011,1062,2020-09-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2011,OCT FY2011,2907,2020-10-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2011,NOV FY2011,1685,2020-11-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2011,DEC FY2011,2134,2020-12-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2012,JAN FY2012,3195,2021-01-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2012,FEB FY2012,3988,2021-02-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2012,MAR FY2012,2172,2021-03-01
QKBU,N9300,N9K-C9336C-FX2,Q3 FY2012,APR FY2012,4486,2021-04-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2012,MAY FY2012,2866,2021-05-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2012,JUN FY2012,4183,2021-06-01
QKBU,N9300,N9K-C9336C-FX2,Q4 FY2012,JUL FY2012,4505,2021-07-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2012,AUG FY2012,978,2021-08-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2012,SEP FY2012,1939,2021-09-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2012,OCT FY2012,3349,2021-10-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2012,NOV FY2012,3100,2021-11-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2012,DEC FY2012,3547,2021-12-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2022,JAN FY2022,20285,2022-01-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2022,AUG FY2022,3537,2022-08-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2022,SEP FY2022,2688,2022-09-01
QKBU,N9300,N9K-C9336C-FX2,Q1 FY2022,OCT FY2022,6216,2022-10-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2022,NOV FY2022,5065,2022-11-01
QKBU,N9300,N9K-C9336C-FX2,Q2 FY2022,DEC FY2022,2346,2022-12-01
