Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2002,JUL FY2002,62,2017-07-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,JAN FY2008,783,2018-01-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,FEB FY2008,690,2018-02-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,MAR FY2008,588,2018-03-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2008,APR FY2008,1208,2018-04-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,MAY FY2008,450,2018-05-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUN FY2008,1406,2018-06-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2008,JUL FY2008,2479,2018-07-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,AUG FY2008,39,2018-08-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,SEP FY2008,97,2018-09-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2008,OCT FY2008,397,2018-10-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,NOV FY2008,346,2018-11-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2008,DEC FY2008,838,2018-12-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,JAN FY2007,1529,2019-01-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,FEB FY2007,1354,2019-02-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,MAR FY2007,1184,2019-03-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2007,APR FY2007,2669,2019-04-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,MAY FY2007,1102,2019-05-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUN FY2007,1555,2019-06-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2007,JUL FY2007,3512,2019-07-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,AUG FY2007,583,2019-08-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,SEP FY2007,847,2019-09-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2007,OCT FY2007,1929,2019-10-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,NOV FY2007,1061,2019-11-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2007,DEC FY2007,2146,2019-12-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,JAN FY2011,2246,2020-01-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,FEB FY2011,1810,2020-02-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,MAR FY2011,2251,2020-03-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2011,APR FY2011,3354,2020-04-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,MAY FY2011,1550,2020-05-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUN FY2011,2065,2020-06-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2011,JUL FY2011,2572,2020-07-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,AUG FY2011,1114,2020-08-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,SEP FY2011,1255,2020-09-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2011,OCT FY2011,2652,2020-10-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,NOV FY2011,1564,2020-11-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2011,DEC FY2011,2327,2020-12-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,JAN FY2012,2324,2021-01-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,FEB FY2012,1720,2021-02-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,MAR FY2012,1949,2021-03-01
QKBU,N9300,N9K-C9348GC-FXP,Q3 FY2012,APR FY2012,3913,2021-04-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,MAY FY2012,2182,2021-05-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,JUN FY2012,2274,2021-06-01
QKBU,N9300,N9K-C9348GC-FXP,Q4 FY2012,JUL FY2012,6508,2021-07-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,AUG FY2012,1317,2021-08-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,SEP FY2012,1315,2021-09-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2012,OCT FY2012,2669,2021-10-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,NOV FY2012,2710,2021-11-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2012,DEC FY2012,2138,2021-12-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,JAN FY2022,7141,2022-01-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,AUG FY2022,2767,2022-08-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,SEP FY2022,2922,2022-09-01
QKBU,N9300,N9K-C9348GC-FXP,Q1 FY2022,OCT FY2022,5812,2022-10-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,NOV FY2022,4925,2022-11-01
QKBU,N9300,N9K-C9348GC-FXP,Q2 FY2022,DEC FY2022,2914,2022-12-01
