Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,JAN FY2011,4,2020-01-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,FEB FY2011,11,2020-02-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,MAR FY2011,18,2020-03-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2011,APR FY2011,14,2020-04-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,MAY FY2011,14,2020-05-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUN FY2011,2,2020-06-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2011,JUL FY2011,289,2020-07-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2011,OCT FY2011,14,2020-10-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,NOV FY2011,4,2020-11-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2011,DEC FY2011,12,2020-12-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,JAN FY2012,272,2021-01-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,FEB FY2012,175,2021-02-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,MAR FY2012,316,2021-03-01
QKBU,N9300,N9K-C93600CD-GX,Q3 FY2012,APR FY2012,277,2021-04-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,MAY FY2012,112,2021-05-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUN FY2012,267,2021-06-01
QKBU,N9300,N9K-C93600CD-GX,Q4 FY2012,JUL FY2012,907,2021-07-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,AUG FY2012,1,2021-08-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,SEP FY2012,29,2021-09-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2012,OCT FY2012,73,2021-10-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,NOV FY2012,90,2021-11-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2012,DEC FY2012,56,2021-12-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,JAN FY2022,320,2022-01-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,AUG FY2022,171,2022-08-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,SEP FY2022,171,2022-09-01
QKBU,N9300,N9K-C93600CD-GX,Q1 FY2022,OCT FY2022,545,2022-10-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,NOV FY2022,213,2022-11-01
QKBU,N9300,N9K-C93600CD-GX,Q2 FY2022,DEC FY2022,730,2022-12-01
