Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C9364C-GX,Q2 FY2011,JAN FY2011,2,2020-01-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,FEB FY2011,29,2020-02-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,MAR FY2011,49,2020-03-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2011,APR FY2011,83,2020-04-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,MAY FY2011,49,2020-05-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,JUN FY2011,106,2020-06-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2011,JUL FY2011,135,2020-07-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2011,DEC FY2011,6,2020-12-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,JAN FY2012,184,2021-01-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,FEB FY2012,101,2021-02-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,MAR FY2012,105,2021-03-01
QKBU,N9300,N9K-C9364C-GX,Q3 FY2012,APR FY2012,442,2021-04-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,MAY FY2012,171,2021-05-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,JUN FY2012,175,2021-06-01
QKBU,N9300,N9K-C9364C-GX,Q4 FY2012,JUL FY2012,548,2021-07-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,AUG FY2012,63,2021-08-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,SEP FY2012,24,2021-09-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2012,OCT FY2012,217,2021-10-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,NOV FY2012,270,2021-11-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2012,DEC FY2012,125,2021-12-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2022,JAN FY2022,538,2022-01-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,AUG FY2022,257,2022-08-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,SEP FY2022,158,2022-09-01
QKBU,N9300,N9K-C9364C-GX,Q1 FY2022,OCT FY2022,407,2022-10-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2022,NOV FY2022,362,2022-11-01
QKBU,N9300,N9K-C9364C-GX,Q2 FY2022,DEC FY2022,209,2022-12-01
