Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9300,N9K-C9364C,Q4 FY2002,JUL FY2002,68,2017-07-01
QKBU,N9300,N9K-C9364C,Q2 FY2008,JAN FY2008,558,2018-01-01
QKBU,N9300,N9K-C9364C,Q3 FY2008,FEB FY2008,175,2018-02-01
QKBU,N9300,N9K-C9364C,Q3 FY2008,MAR FY2008,526,2018-03-01
QKBU,N9300,N9K-C9364C,Q3 FY2008,APR FY2008,697,2018-04-01
QKBU,N9300,N9K-C9364C,Q4 FY2008,MAY FY2008,565,2018-05-01
QKBU,N9300,N9K-C9364C,Q4 FY2008,JUN FY2008,537,2018-06-01
QKBU,N9300,N9K-C9364C,Q4 FY2008,JUL FY2008,1547,2018-07-01
QKBU,N9300,N9K-C9364C,Q1 FY2008,AUG FY2008,29,2018-08-01
QKBU,N9300,N9K-C9364C,Q1 FY2008,SEP FY2008,169,2018-09-01
QKBU,N9300,N9K-C9364C,Q1 FY2008,OCT FY2008,314,2018-10-01
QKBU,N9300,N9K-C9364C,Q2 FY2008,NOV FY2008,304,2018-11-01
QKBU,N9300,N9K-C9364C,Q2 FY2008,DEC FY2008,337,2018-12-01
QKBU,N9300,N9K-C9364C,Q2 FY2007,JAN FY2007,491,2019-01-01
QKBU,N9300,N9K-C9364C,Q3 FY2007,FEB FY2007,361,2019-02-01
QKBU,N9300,N9K-C9364C,Q3 FY2007,MAR FY2007,324,2019-03-01
QKBU,N9300,N9K-C9364C,Q3 FY2007,APR FY2007,400,2019-04-01
QKBU,N9300,N9K-C9364C,Q4 FY2007,MAY FY2007,217,2019-05-01
QKBU,N9300,N9K-C9364C,Q4 FY2007,JUN FY2007,194,2019-06-01
QKBU,N9300,N9K-C9364C,Q4 FY2007,JUL FY2007,612,2019-07-01
QKBU,N9300,N9K-C9364C,Q1 FY2007,AUG FY2007,293,2019-08-01
QKBU,N9300,N9K-C9364C,Q1 FY2007,SEP FY2007,566,2019-09-01
QKBU,N9300,N9K-C9364C,Q1 FY2007,OCT FY2007,686,2019-10-01
QKBU,N9300,N9K-C9364C,Q2 FY2007,NOV FY2007,159,2019-11-01
QKBU,N9300,N9K-C9364C,Q2 FY2007,DEC FY2007,473,2019-12-01
QKBU,N9300,N9K-C9364C,Q2 FY2011,JAN FY2011,453,2020-01-01
QKBU,N9300,N9K-C9364C,Q3 FY2011,FEB FY2011,148,2020-02-01
QKBU,N9300,N9K-C9364C,Q3 FY2011,MAR FY2011,254,2020-03-01
QKBU,N9300,N9K-C9364C,Q3 FY2011,APR FY2011,366,2020-04-01
QKBU,N9300,N9K-C9364C,Q4 FY2011,MAY FY2011,269,2020-05-01
QKBU,N9300,N9K-C9364C,Q4 FY2011,JUN FY2011,140,2020-06-01
QKBU,N9300,N9K-C9364C,Q4 FY2011,JUL FY2011,443,2020-07-01
QKBU,N9300,N9K-C9364C,Q1 FY2011,AUG FY2011,247,2020-08-01
QKBU,N9300,N9K-C9364C,Q1 FY2011,SEP FY2011,191,2020-09-01
QKBU,N9300,N9K-C9364C,Q1 FY2011,OCT FY2011,531,2020-10-01
QKBU,N9300,N9K-C9364C,Q2 FY2011,NOV FY2011,162,2020-11-01
QKBU,N9300,N9K-C9364C,Q2 FY2011,DEC FY2011,289,2020-12-01
QKBU,N9300,N9K-C9364C,Q2 FY2012,JAN FY2012,254,2021-01-01
QKBU,N9300,N9K-C9364C,Q3 FY2012,FEB FY2012,234,2021-02-01
QKBU,N9300,N9K-C9364C,Q3 FY2012,MAR FY2012,144,2021-03-01
QKBU,N9300,N9K-C9364C,Q3 FY2012,APR FY2012,277,2021-04-01
QKBU,N9300,N9K-C9364C,Q4 FY2012,MAY FY2012,152,2021-05-01
QKBU,N9300,N9K-C9364C,Q4 FY2012,JUN FY2012,197,2021-06-01
QKBU,N9300,N9K-C9364C,Q4 FY2012,JUL FY2012,442,2021-07-01
QKBU,N9300,N9K-C9364C,Q1 FY2012,AUG FY2012,214,2021-08-01
QKBU,N9300,N9K-C9364C,Q1 FY2012,SEP FY2012,173,2021-09-01
QKBU,N9300,N9K-C9364C,Q1 FY2012,OCT FY2012,357,2021-10-01
QKBU,N9300,N9K-C9364C,Q2 FY2012,NOV FY2012,270,2021-11-01
QKBU,N9300,N9K-C9364C,Q2 FY2012,DEC FY2012,222,2021-12-01
QKBU,N9300,N9K-C9364C,Q2 FY2022,JAN FY2022,140,2022-01-01
QKBU,N9300,N9K-C9364C,Q1 FY2022,AUG FY2022,195,2022-08-01
QKBU,N9300,N9K-C9364C,Q1 FY2022,SEP FY2022,169,2022-09-01
QKBU,N9300,N9K-C9364C,Q1 FY2022,OCT FY2022,268,2022-10-01
QKBU,N9300,N9K-C9364C,Q2 FY2022,NOV FY2022,229,2022-11-01
QKBU,N9300,N9K-C9364C,Q2 FY2022,DEC FY2022,166,2022-12-01
