Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9500,N9K-C9508-FM-G,Q4 FY2011,JUN FY2011,8,2020-06-01
QKBU,N9500,N9K-C9508-FM-G,Q4 FY2011,JUL FY2011,24,2020-07-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,JAN FY2012,68,2021-01-01
QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,FEB FY2012,11,2021-02-01
QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,MAR FY2012,25,2021-03-01
QKBU,N9500,N9K-C9508-FM-G,Q3 FY2012,APR FY2012,16,2021-04-01
QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,MAY FY2012,102,2021-05-01
QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,JUN FY2012,16,2021-06-01
QKBU,N9500,N9K-C9508-FM-G,Q4 FY2012,JUL FY2012,536,2021-07-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,AUG FY2012,0,2021-08-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,SEP FY2012,60,2021-09-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2012,OCT FY2012,242,2021-10-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,NOV FY2012,22,2021-11-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2012,DEC FY2012,32,2021-12-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2022,JAN FY2022,250,2022-01-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,AUG FY2022,90,2022-08-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,SEP FY2022,16,2022-09-01
QKBU,N9500,N9K-C9508-FM-G,Q1 FY2022,OCT FY2022,243,2022-10-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2022,NOV FY2022,250,2022-11-01
QKBU,N9500,N9K-C9508-FM-G,Q2 FY2022,DEC FY2022,788,2022-12-01
