Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9500,N9K-C9508,Q2 FY2014,JAN FY2014,91,2014-01-01
QKBU,N9500,N9K-C9508,Q3 FY2014,FEB FY2014,29,2014-02-01
QKBU,N9500,N9K-C9508,Q3 FY2014,MAR FY2014,32,2014-03-01
QKBU,N9500,N9K-C9508,Q3 FY2014,APR FY2014,112,2014-04-01
QKBU,N9500,N9K-C9508,Q4 FY2014,MAY FY2014,24,2014-05-01
QKBU,N9500,N9K-C9508,Q4 FY2014,JUN FY2014,63,2014-06-01
QKBU,N9500,N9K-C9508,Q4 FY2014,JUL FY2014,265,2014-07-01
QKBU,N9500,N9K-C9508,Q1 FY2014,SEP FY2014,3,2014-09-01
QKBU,N9500,N9K-C9508,Q1 FY2014,OCT FY2014,2,2014-10-01
QKBU,N9500,N9K-C9508,Q2 FY2014,NOV FY2014,1,2014-11-01
QKBU,N9500,N9K-C9508,Q2 FY2014,DEC FY2014,69,2014-12-01
QKBU,N9500,N9K-C9508,Q2 FY2015,JAN FY2015,137,2015-01-01
QKBU,N9500,N9K-C9508,Q3 FY2015,FEB FY2015,143,2015-02-01
QKBU,N9500,N9K-C9508,Q3 FY2015,MAR FY2015,94,2015-03-01
QKBU,N9500,N9K-C9508,Q3 FY2015,APR FY2015,241,2015-04-01
QKBU,N9500,N9K-C9508,Q4 FY2015,MAY FY2015,114,2015-05-01
QKBU,N9500,N9K-C9508,Q4 FY2015,JUN FY2015,188,2015-06-01
QKBU,N9500,N9K-C9508,Q4 FY2015,JUL FY2015,327,2015-07-01
QKBU,N9500,N9K-C9508,Q1 FY2015,AUG FY2015,44,2015-08-01
QKBU,N9500,N9K-C9508,Q1 FY2015,SEP FY2015,51,2015-09-01
QKBU,N9500,N9K-C9508,Q1 FY2015,OCT FY2015,158,2015-10-01
QKBU,N9500,N9K-C9508,Q2 FY2015,NOV FY2015,84,2015-11-01
QKBU,N9500,N9K-C9508,Q2 FY2015,DEC FY2015,133,2015-12-01
QKBU,N9500,N9K-C9508,Q2 FY2022,JAN FY2022,183,2016-01-01
QKBU,N9500,N9K-C9508,Q3 FY2022,FEB FY2022,120,2016-02-01
QKBU,N9500,N9K-C9508,Q3 FY2022,MAR FY2022,184,2016-03-01
QKBU,N9500,N9K-C9508,Q3 FY2022,APR FY2022,270,2016-04-01
QKBU,N9500,N9K-C9508,Q4 FY2022,MAY FY2022,77,2016-05-01
QKBU,N9500,N9K-C9508,Q4 FY2022,JUN FY2022,185,2016-06-01
QKBU,N9500,N9K-C9508,Q4 FY2022,JUL FY2022,382,2016-07-01
QKBU,N9500,N9K-C9508,Q1 FY2022,AUG FY2022,124,2016-08-01
QKBU,N9500,N9K-C9508,Q1 FY2022,SEP FY2022,92,2016-09-01
QKBU,N9500,N9K-C9508,Q1 FY2022,OCT FY2022,177,2016-10-01
QKBU,N9500,N9K-C9508,Q2 FY2022,NOV FY2022,114,2016-11-01
QKBU,N9500,N9K-C9508,Q2 FY2022,DEC FY2022,121,2016-12-01
QKBU,N9500,N9K-C9508,Q2 FY2002,JAN FY2002,239,2017-01-01
QKBU,N9500,N9K-C9508,Q3 FY2002,FEB FY2002,106,2017-02-01
QKBU,N9500,N9K-C9508,Q3 FY2002,MAR FY2002,345,2017-03-01
QKBU,N9500,N9K-C9508,Q3 FY2002,APR FY2002,385,2017-04-01
QKBU,N9500,N9K-C9508,Q4 FY2002,MAY FY2002,230,2017-05-01
QKBU,N9500,N9K-C9508,Q4 FY2002,JUN FY2002,243,2017-06-01
QKBU,N9500,N9K-C9508,Q4 FY2002,JUL FY2002,390,2017-07-01
QKBU,N9500,N9K-C9508,Q1 FY2002,AUG FY2002,37,2017-08-01
QKBU,N9500,N9K-C9508,Q1 FY2002,SEP FY2002,104,2017-09-01
QKBU,N9500,N9K-C9508,Q1 FY2002,OCT FY2002,214,2017-10-01
QKBU,N9500,N9K-C9508,Q2 FY2002,NOV FY2002,161,2017-11-01
QKBU,N9500,N9K-C9508,Q2 FY2002,DEC FY2002,261,2017-12-01
QKBU,N9500,N9K-C9508,Q2 FY2008,JAN FY2008,338,2018-01-01
QKBU,N9500,N9K-C9508,Q3 FY2008,FEB FY2008,130,2018-02-01
QKBU,N9500,N9K-C9508,Q3 FY2008,MAR FY2008,289,2018-03-01
QKBU,N9500,N9K-C9508,Q3 FY2008,APR FY2008,364,2018-04-01
QKBU,N9500,N9K-C9508,Q4 FY2008,MAY FY2008,264,2018-05-01
QKBU,N9500,N9K-C9508,Q4 FY2008,JUN FY2008,226,2018-06-01
QKBU,N9500,N9K-C9508,Q4 FY2008,JUL FY2008,483,2018-07-01
QKBU,N9500,N9K-C9508,Q1 FY2008,AUG FY2008,118,2018-08-01
QKBU,N9500,N9K-C9508,Q1 FY2008,SEP FY2008,155,2018-09-01
QKBU,N9500,N9K-C9508,Q1 FY2008,OCT FY2008,383,2018-10-01
QKBU,N9500,N9K-C9508,Q2 FY2008,NOV FY2008,180,2018-11-01
QKBU,N9500,N9K-C9508,Q2 FY2008,DEC FY2008,311,2018-12-01
QKBU,N9500,N9K-C9508,Q2 FY2007,JAN FY2007,197,2019-01-01
QKBU,N9500,N9K-C9508,Q3 FY2007,FEB FY2007,119,2019-02-01
QKBU,N9500,N9K-C9508,Q3 FY2007,MAR FY2007,233,2019-03-01
QKBU,N9500,N9K-C9508,Q3 FY2007,APR FY2007,311,2019-04-01
QKBU,N9500,N9K-C9508,Q4 FY2007,MAY FY2007,162,2019-05-01
QKBU,N9500,N9K-C9508,Q4 FY2007,JUN FY2007,270,2019-06-01
QKBU,N9500,N9K-C9508,Q4 FY2007,JUL FY2007,341,2019-07-01
QKBU,N9500,N9K-C9508,Q1 FY2007,AUG FY2007,201,2019-08-01
QKBU,N9500,N9K-C9508,Q1 FY2007,SEP FY2007,203,2019-09-01
QKBU,N9500,N9K-C9508,Q1 FY2007,OCT FY2007,416,2019-10-01
QKBU,N9500,N9K-C9508,Q2 FY2007,NOV FY2007,234,2019-11-01
QKBU,N9500,N9K-C9508,Q2 FY2007,DEC FY2007,244,2019-12-01
QKBU,N9500,N9K-C9508,Q2 FY2011,JAN FY2011,196,2020-01-01
QKBU,N9500,N9K-C9508,Q3 FY2011,FEB FY2011,81,2020-02-01
QKBU,N9500,N9K-C9508,Q3 FY2011,MAR FY2011,141,2020-03-01
QKBU,N9500,N9K-C9508,Q3 FY2011,APR FY2011,256,2020-04-01
QKBU,N9500,N9K-C9508,Q4 FY2011,MAY FY2011,132,2020-05-01
