Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2002,JAN FY2002,57,2017-01-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,FEB FY2002,38,2017-02-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,MAR FY2002,172,2017-03-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2002,APR FY2002,281,2017-04-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,MAY FY2002,148,2017-05-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,JUN FY2002,244,2017-06-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2002,JUL FY2002,299,2017-07-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2002,DEC FY2002,52,2017-12-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,JAN FY2008,258,2018-01-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,FEB FY2008,201,2018-02-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,MAR FY2008,569,2018-03-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2008,APR FY2008,742,2018-04-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,MAY FY2008,361,2018-05-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,JUN FY2008,333,2018-06-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2008,JUL FY2008,1136,2018-07-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,AUG FY2008,108,2018-08-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,SEP FY2008,239,2018-09-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2008,OCT FY2008,379,2018-10-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,NOV FY2008,305,2018-11-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2008,DEC FY2008,303,2018-12-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,JAN FY2007,556,2019-01-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,FEB FY2007,423,2019-02-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,MAR FY2007,404,2019-03-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2007,APR FY2007,683,2019-04-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,MAY FY2007,406,2019-05-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUN FY2007,637,2019-06-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2007,JUL FY2007,912,2019-07-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,AUG FY2007,138,2019-08-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,SEP FY2007,403,2019-09-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2007,OCT FY2007,884,2019-10-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,NOV FY2007,450,2019-11-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2007,DEC FY2007,640,2019-12-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,JAN FY2011,485,2020-01-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,FEB FY2011,208,2020-02-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,MAR FY2011,353,2020-03-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2011,APR FY2011,620,2020-04-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,MAY FY2011,200,2020-05-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,JUN FY2011,322,2020-06-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2011,JUL FY2011,1004,2020-07-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,AUG FY2011,214,2020-08-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,SEP FY2011,401,2020-09-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2011,OCT FY2011,664,2020-10-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,NOV FY2011,262,2020-11-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2011,DEC FY2011,458,2020-12-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,JAN FY2012,516,2021-01-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,FEB FY2012,283,2021-02-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,MAR FY2012,508,2021-03-01
QKBU,N9500,N9K-X97160YC-EX,Q3 FY2012,APR FY2012,515,2021-04-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,MAY FY2012,383,2021-05-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,JUN FY2012,470,2021-06-01
QKBU,N9500,N9K-X97160YC-EX,Q4 FY2012,JUL FY2012,830,2021-07-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,AUG FY2012,322,2021-08-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,SEP FY2012,389,2021-09-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2012,OCT FY2012,535,2021-10-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,NOV FY2012,381,2021-11-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2012,DEC FY2012,349,2021-12-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2022,JAN FY2022,378,2022-01-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,AUG FY2022,672,2022-08-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,SEP FY2022,544,2022-09-01
QKBU,N9500,N9K-X97160YC-EX,Q1 FY2022,OCT FY2022,812,2022-10-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2022,NOV FY2022,478,2022-11-01
QKBU,N9500,N9K-X97160YC-EX,Q2 FY2022,DEC FY2022,496,2022-12-01
