Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
QKBU,N9500,N9K-X9736C-FX,Q4 FY2002,JUL FY2002,72,2017-07-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,JAN FY2008,186,2018-01-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,FEB FY2008,212,2018-02-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,MAR FY2008,419,2018-03-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2008,APR FY2008,322,2018-04-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,MAY FY2008,130,2018-05-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUN FY2008,261,2018-06-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2008,JUL FY2008,723,2018-07-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,AUG FY2008,3,2018-08-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,SEP FY2008,2,2018-09-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2008,OCT FY2008,103,2018-10-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,NOV FY2008,85,2018-11-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2008,DEC FY2008,109,2018-12-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,JAN FY2007,466,2019-01-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,FEB FY2007,410,2019-02-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,MAR FY2007,613,2019-03-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2007,APR FY2007,913,2019-04-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,MAY FY2007,408,2019-05-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUN FY2007,1270,2019-06-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2007,JUL FY2007,1060,2019-07-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,AUG FY2007,237,2019-08-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,SEP FY2007,258,2019-09-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2007,OCT FY2007,845,2019-10-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,NOV FY2007,563,2019-11-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2007,DEC FY2007,827,2019-12-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,JAN FY2011,820,2020-01-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,FEB FY2011,449,2020-02-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,MAR FY2011,423,2020-03-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2011,APR FY2011,1130,2020-04-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,MAY FY2011,354,2020-05-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,JUN FY2011,560,2020-06-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2011,JUL FY2011,896,2020-07-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,AUG FY2011,233,2020-08-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,SEP FY2011,487,2020-09-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2011,OCT FY2011,703,2020-10-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,NOV FY2011,381,2020-11-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2011,DEC FY2011,558,2020-12-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,JAN FY2012,802,2021-01-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,FEB FY2012,739,2021-02-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,MAR FY2012,764,2021-03-01
QKBU,N9500,N9K-X9736C-FX,Q3 FY2012,APR FY2012,767,2021-04-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,MAY FY2012,756,2021-05-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,JUN FY2012,1019,2021-06-01
QKBU,N9500,N9K-X9736C-FX,Q4 FY2012,JUL FY2012,1385,2021-07-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,AUG FY2012,331,2021-08-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,SEP FY2012,487,2021-09-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2012,OCT FY2012,959,2021-10-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,NOV FY2012,682,2021-11-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2012,DEC FY2012,629,2021-12-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,JAN FY2022,1031,2022-01-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,AUG FY2022,499,2022-08-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,SEP FY2022,685,2022-09-01
QKBU,N9500,N9K-X9736C-FX,Q1 FY2022,OCT FY2022,1386,2022-10-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,NOV FY2022,875,2022-11-01
QKBU,N9500,N9K-X9736C-FX,Q2 FY2022,DEC FY2022,2035,2022-12-01
