Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2012,JAN FY2012,1,2021-01-01
CRBU,NCS55FC,NC-57-36H-SE,Q3 FY2012,MAR FY2012,28,2021-03-01
CRBU,NCS55FC,NC-57-36H-SE,Q3 FY2012,APR FY2012,8,2021-04-01
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,MAY FY2012,19,2021-05-01
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUN FY2012,26,2021-06-01
CRBU,NCS55FC,NC-57-36H-SE,Q4 FY2012,JUL FY2012,15,2021-07-01
CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2022,JAN FY2022,33,2022-01-01
CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,AUG FY2022,8,2022-08-01
CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,SEP FY2022,272,2022-09-01
CRBU,NCS55FC,NC-57-36H-SE,Q1 FY2022,OCT FY2022,24,2022-10-01
CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2022,NOV FY2022,2,2022-11-01
CRBU,NCS55FC,NC-57-36H-SE,Q2 FY2022,DEC FY2022,19,2022-12-01
