Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2002,JUL FY2002,3,2017-07-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,JAN FY2008,9,2018-01-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,FEB FY2008,31,2018-02-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,MAR FY2008,28,2018-03-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2008,APR FY2008,47,2018-04-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,MAY FY2008,22,2018-05-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUN FY2008,126,2018-06-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2008,JUL FY2008,67,2018-07-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,AUG FY2008,1,2018-08-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2008,OCT FY2008,3,2018-10-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,NOV FY2008,2,2018-11-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2008,DEC FY2008,19,2018-12-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,JAN FY2007,151,2019-01-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,FEB FY2007,44,2019-02-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,MAR FY2007,65,2019-03-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2007,APR FY2007,156,2019-04-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,MAY FY2007,38,2019-05-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUN FY2007,196,2019-06-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2007,JUL FY2007,59,2019-07-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,AUG FY2007,14,2019-08-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,SEP FY2007,21,2019-09-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2007,OCT FY2007,133,2019-10-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,NOV FY2007,22,2019-11-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2007,DEC FY2007,218,2019-12-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,JAN FY2011,292,2020-01-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,FEB FY2011,4,2020-02-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,MAR FY2011,359,2020-03-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2011,APR FY2011,264,2020-04-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,MAY FY2011,28,2020-05-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,JUN FY2011,10,2020-06-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2011,JUL FY2011,227,2020-07-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,AUG FY2011,7,2020-08-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,SEP FY2011,100,2020-09-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2011,OCT FY2011,465,2020-10-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,NOV FY2011,5,2020-11-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2011,DEC FY2011,135,2020-12-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,JAN FY2012,141,2021-01-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,FEB FY2012,3,2021-02-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,MAR FY2012,100,2021-03-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q3 FY2012,APR FY2012,208,2021-04-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,MAY FY2012,77,2021-05-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUN FY2012,15,2021-06-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q4 FY2012,JUL FY2012,25,2021-07-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,AUG FY2012,12,2021-08-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,SEP FY2012,22,2021-09-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2012,OCT FY2012,134,2021-10-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,NOV FY2012,16,2021-11-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2012,DEC FY2012,27,2021-12-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,JAN FY2022,65,2022-01-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,AUG FY2022,15,2022-08-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,SEP FY2022,85,2022-09-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q1 FY2022,OCT FY2022,132,2022-10-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,NOV FY2022,27,2022-11-01
CRBU,NCS5500,NC55-36X100G-A-SE,Q2 FY2022,DEC FY2022,13,2022-12-01
