Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2007,APR FY2007,18,2019-04-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2007,JUN FY2007,25,2019-06-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2007,JUL FY2007,120,2019-07-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2011,JAN FY2011,234,2020-01-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2011,FEB FY2011,127,2020-02-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2011,MAR FY2011,174,2020-03-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2011,APR FY2011,264,2020-04-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2011,MAY FY2011,84,2020-05-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2011,JUN FY2011,96,2020-06-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2011,JUL FY2011,481,2020-07-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2011,AUG FY2011,14,2020-08-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2011,SEP FY2011,3,2020-09-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2011,OCT FY2011,60,2020-10-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2011,NOV FY2011,18,2020-11-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2011,DEC FY2011,270,2020-12-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2012,JAN FY2012,828,2021-01-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2012,FEB FY2012,192,2021-02-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2012,MAR FY2012,573,2021-03-01
CRBU,NCS55FC,NC55-5508-FC2,Q3 FY2012,APR FY2012,289,2021-04-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,MAY FY2012,286,2021-05-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,JUN FY2012,450,2021-06-01
CRBU,NCS55FC,NC55-5508-FC2,Q4 FY2012,JUL FY2012,510,2021-07-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2012,AUG FY2012,49,2021-08-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2012,SEP FY2012,73,2021-09-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2012,OCT FY2012,439,2021-10-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2012,NOV FY2012,253,2021-11-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2012,DEC FY2012,431,2021-12-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2022,JAN FY2022,374,2022-01-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2022,AUG FY2022,61,2022-08-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2022,SEP FY2022,258,2022-09-01
CRBU,NCS55FC,NC55-5508-FC2,Q1 FY2022,OCT FY2022,201,2022-10-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2022,NOV FY2022,60,2022-11-01
CRBU,NCS55FC,NC55-5508-FC2,Q2 FY2022,DEC FY2022,258,2022-12-01
