Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,MAY FY2002,2,2017-05-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,JUN FY2002,8,2017-06-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2002,JUL FY2002,24,2017-07-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,JAN FY2008,44,2018-01-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,FEB FY2008,10,2018-02-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,MAR FY2008,3,2018-03-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2008,APR FY2008,36,2018-04-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,MAY FY2008,1,2018-05-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,JUN FY2008,12,2018-06-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2008,JUL FY2008,27,2018-07-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,AUG FY2008,40,2018-08-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,SEP FY2008,15,2018-09-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2008,OCT FY2008,100,2018-10-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,NOV FY2008,9,2018-11-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2008,DEC FY2008,0,2018-12-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,JAN FY2007,14,2019-01-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,FEB FY2007,15,2019-02-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,MAR FY2007,14,2019-03-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2007,APR FY2007,0,2019-04-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,MAY FY2007,2,2019-05-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,JUN FY2007,1,2019-06-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2007,JUL FY2007,22,2019-07-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,AUG FY2007,20,2019-08-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,SEP FY2007,95,2019-09-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2007,OCT FY2007,24,2019-10-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,NOV FY2007,1,2019-11-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2007,DEC FY2007,17,2019-12-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,JAN FY2011,25,2020-01-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,FEB FY2011,0,2020-02-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,MAR FY2011,0,2020-03-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2011,APR FY2011,4,2020-04-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,MAY FY2011,2,2020-05-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,JUN FY2011,2,2020-06-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2011,JUL FY2011,1,2020-07-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,AUG FY2011,4,2020-08-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,SEP FY2011,17,2020-09-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2011,OCT FY2011,32,2020-10-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,NOV FY2011,1,2020-11-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2011,DEC FY2011,17,2020-12-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,JAN FY2012,27,2021-01-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,FEB FY2012,10,2021-02-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,MAR FY2012,18,2021-03-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q3 FY2012,APR FY2012,31,2021-04-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,MAY FY2012,5,2021-05-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUN FY2012,0,2021-06-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q4 FY2012,JUL FY2012,21,2021-07-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,AUG FY2012,0,2021-08-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,SEP FY2012,0,2021-09-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2012,OCT FY2012,9,2021-10-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,NOV FY2012,2,2021-11-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2012,DEC FY2012,2,2021-12-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2022,JAN FY2022,7,2022-01-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,AUG FY2022,0,2022-08-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,SEP FY2022,19,2022-09-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q1 FY2022,OCT FY2022,1,2022-10-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2022,NOV FY2022,25,2022-11-01
CRBU,NCS6000,NC6-20X100GE-M-C,Q2 FY2022,DEC FY2022,0,2022-12-01
