Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS5500,NCS-5501-SE,Q4 FY2022,JUN FY2022,10,2016-06-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2022,JUL FY2022,43,2016-07-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,JAN FY2002,191,2017-01-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,FEB FY2002,169,2017-02-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,MAR FY2002,281,2017-03-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2002,APR FY2002,29,2017-04-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,MAY FY2002,33,2017-05-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,JUN FY2002,53,2017-06-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2002,JUL FY2002,273,2017-07-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,AUG FY2002,14,2017-08-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,SEP FY2002,75,2017-09-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2002,OCT FY2002,60,2017-10-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,NOV FY2002,73,2017-11-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2002,DEC FY2002,14,2017-12-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,JAN FY2008,200,2018-01-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,FEB FY2008,421,2018-02-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,MAR FY2008,100,2018-03-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2008,APR FY2008,320,2018-04-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,MAY FY2008,186,2018-05-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,JUN FY2008,138,2018-06-01
CRBU,NCS5500,NCS-5501-SE,Q4 FY2008,JUL FY2008,302,2018-07-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,AUG FY2008,140,2018-08-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,SEP FY2008,86,2018-09-01
CRBU,NCS5500,NCS-5501-SE,Q1 FY2008,OCT FY2008,94,2018-10-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,NOV FY2008,26,2018-11-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2008,DEC FY2008,124,2018-12-01
CRBU,NCS5500,NCS-5501-SE,Q2 FY2007,JAN FY2007,506,2019-01-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2007,FEB FY2007,133,2019-02-01
CRBU,NCS5500,NCS-5501-SE,Q3 FY2007,MAR FY2007,73,2019-03-01
