Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,JAN FY2007,4,2019-01-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2007,MAR FY2007,12,2019-03-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2007,APR FY2007,60,2019-04-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,MAY FY2007,52,2019-05-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,JUN FY2007,18,2019-06-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2007,JUL FY2007,71,2019-07-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2007,AUG FY2007,3,2019-08-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2007,OCT FY2007,20,2019-10-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,NOV FY2007,2,2019-11-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2007,DEC FY2007,6,2019-12-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,JAN FY2011,125,2020-01-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,FEB FY2011,121,2020-02-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,MAR FY2011,20,2020-03-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2011,APR FY2011,79,2020-04-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,MAY FY2011,38,2020-05-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,JUN FY2011,9,2020-06-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2011,JUL FY2011,594,2020-07-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,AUG FY2011,10,2020-08-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,SEP FY2011,33,2020-09-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2011,OCT FY2011,190,2020-10-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,NOV FY2011,119,2020-11-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2011,DEC FY2011,348,2020-12-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,JAN FY2012,7,2021-01-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,FEB FY2012,139,2021-02-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,MAR FY2012,178,2021-03-01
CRBU,NCS55FC,NCS-5504-SYS,Q3 FY2012,APR FY2012,181,2021-04-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,MAY FY2012,41,2021-05-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUN FY2012,70,2021-06-01
CRBU,NCS55FC,NCS-5504-SYS,Q4 FY2012,JUL FY2012,109,2021-07-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,AUG FY2012,152,2021-08-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,SEP FY2012,5,2021-09-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2012,OCT FY2012,118,2021-10-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,NOV FY2012,21,2021-11-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2012,DEC FY2012,187,2021-12-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2022,JAN FY2022,86,2022-01-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,AUG FY2022,37,2022-08-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,SEP FY2022,135,2022-09-01
CRBU,NCS55FC,NCS-5504-SYS,Q1 FY2022,OCT FY2022,56,2022-10-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2022,NOV FY2022,15,2022-11-01
CRBU,NCS55FC,NCS-5504-SYS,Q2 FY2022,DEC FY2022,58,2022-12-01
