Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS5500,NCS-5508,Q2 FY2022,JAN FY2022,1,2016-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2022,FEB FY2022,1,2016-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2022,MAR FY2022,0,2016-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2022,APR FY2022,12,2016-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2022,MAY FY2022,9,2016-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2022,JUN FY2022,5,2016-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2022,JUL FY2022,17,2016-07-01
CRBU,NCS5500,NCS-5508,Q2 FY2022,DEC FY2022,3,2016-12-01
CRBU,NCS5500,NCS-5508,Q2 FY2002,JAN FY2002,205,2017-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2002,FEB FY2002,18,2017-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2002,MAR FY2002,42,2017-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2002,APR FY2002,58,2017-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2002,MAY FY2002,28,2017-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2002,JUN FY2002,89,2017-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2002,JUL FY2002,61,2017-07-01
CRBU,NCS5500,NCS-5508,Q1 FY2002,AUG FY2002,3,2017-08-01
CRBU,NCS5500,NCS-5508,Q1 FY2002,SEP FY2002,32,2017-09-01
CRBU,NCS5500,NCS-5508,Q1 FY2002,OCT FY2002,58,2017-10-01
CRBU,NCS5500,NCS-5508,Q2 FY2002,NOV FY2002,23,2017-11-01
CRBU,NCS5500,NCS-5508,Q2 FY2002,DEC FY2002,20,2017-12-01
CRBU,NCS5500,NCS-5508,Q2 FY2008,JAN FY2008,47,2018-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2008,FEB FY2008,22,2018-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2008,MAR FY2008,51,2018-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2008,APR FY2008,63,2018-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2008,MAY FY2008,24,2018-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2008,JUN FY2008,30,2018-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2008,JUL FY2008,137,2018-07-01
CRBU,NCS5500,NCS-5508,Q1 FY2008,AUG FY2008,26,2018-08-01
CRBU,NCS5500,NCS-5508,Q1 FY2008,SEP FY2008,27,2018-09-01
CRBU,NCS5500,NCS-5508,Q1 FY2008,OCT FY2008,77,2018-10-01
CRBU,NCS5500,NCS-5508,Q2 FY2008,NOV FY2008,28,2018-11-01
CRBU,NCS5500,NCS-5508,Q2 FY2008,DEC FY2008,52,2018-12-01
CRBU,NCS5500,NCS-5508,Q2 FY2007,JAN FY2007,85,2019-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2007,FEB FY2007,38,2019-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2007,MAR FY2007,62,2019-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2007,APR FY2007,80,2019-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2007,MAY FY2007,19,2019-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2007,JUN FY2007,60,2019-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2007,JUL FY2007,79,2019-07-01
CRBU,NCS5500,NCS-5508,Q1 FY2007,AUG FY2007,2,2019-08-01
CRBU,NCS5500,NCS-5508,Q1 FY2007,SEP FY2007,29,2019-09-01
CRBU,NCS5500,NCS-5508,Q1 FY2007,OCT FY2007,107,2019-10-01
CRBU,NCS5500,NCS-5508,Q2 FY2007,NOV FY2007,29,2019-11-01
CRBU,NCS5500,NCS-5508,Q2 FY2007,DEC FY2007,75,2019-12-01
CRBU,NCS5500,NCS-5508,Q2 FY2011,JAN FY2011,62,2020-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2011,FEB FY2011,55,2020-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2011,MAR FY2011,115,2020-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2011,APR FY2011,117,2020-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2011,MAY FY2011,58,2020-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2011,JUN FY2011,14,2020-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2011,JUL FY2011,81,2020-07-01
CRBU,NCS5500,NCS-5508,Q1 FY2011,AUG FY2011,94,2020-08-01
CRBU,NCS5500,NCS-5508,Q1 FY2011,SEP FY2011,16,2020-09-01
CRBU,NCS5500,NCS-5508,Q1 FY2011,OCT FY2011,125,2020-10-01
CRBU,NCS5500,NCS-5508,Q2 FY2011,NOV FY2011,26,2020-11-01
CRBU,NCS5500,NCS-5508,Q2 FY2011,DEC FY2011,90,2020-12-01
CRBU,NCS5500,NCS-5508,Q2 FY2012,JAN FY2012,39,2021-01-01
CRBU,NCS5500,NCS-5508,Q3 FY2012,FEB FY2012,36,2021-02-01
CRBU,NCS5500,NCS-5508,Q3 FY2012,MAR FY2012,55,2021-03-01
CRBU,NCS5500,NCS-5508,Q3 FY2012,APR FY2012,58,2021-04-01
CRBU,NCS5500,NCS-5508,Q4 FY2012,MAY FY2012,47,2021-05-01
CRBU,NCS5500,NCS-5508,Q4 FY2012,JUN FY2012,160,2021-06-01
CRBU,NCS5500,NCS-5508,Q4 FY2012,JUL FY2012,191,2021-07-01
CRBU,NCS5500,NCS-5508,Q1 FY2012,AUG FY2012,22,2021-08-01
CRBU,NCS5500,NCS-5508,Q1 FY2012,SEP FY2012,21,2021-09-01
CRBU,NCS5500,NCS-5508,Q1 FY2012,OCT FY2012,154,2021-10-01
