Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2011,JUN FY2011,2,2020-06-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2011,JUL FY2011,1,2020-07-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,JAN FY2012,0,2021-01-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q3 FY2012,MAR FY2012,0,2021-03-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q3 FY2012,APR FY2012,10,2021-04-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUN FY2012,40,2021-06-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q4 FY2012,JUL FY2012,3,2021-07-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,AUG FY2012,2,2021-08-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,SEP FY2012,1,2021-09-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2012,OCT FY2012,13,2021-10-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,NOV FY2012,0,2021-11-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2012,DEC FY2012,8,2021-12-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,JAN FY2022,0,2022-01-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,AUG FY2022,0,2022-08-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,SEP FY2022,84,2022-09-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q1 FY2022,OCT FY2022,260,2022-10-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,NOV FY2022,252,2022-11-01
CRBU,NCS5500,NCS-55A1-24Q6H-SS,Q2 FY2022,DEC FY2022,64,2022-12-01
