Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2008,JUL FY2008,14,2018-07-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,JAN FY2007,19,2019-01-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2007,FEB FY2007,2,2019-02-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2007,APR FY2007,2,2019-04-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,MAY FY2007,10,2019-05-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,JUN FY2007,2,2019-06-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2007,JUL FY2007,10,2019-07-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,AUG FY2007,2,2019-08-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,SEP FY2007,2,2019-09-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2007,OCT FY2007,2,2019-10-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,NOV FY2007,6,2019-11-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2007,DEC FY2007,23,2019-12-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,JAN FY2011,42,2020-01-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,FEB FY2011,6,2020-02-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,MAR FY2011,18,2020-03-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2011,APR FY2011,20,2020-04-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,MAY FY2011,5,2020-05-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,JUN FY2011,28,2020-06-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2011,JUL FY2011,41,2020-07-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,AUG FY2011,0,2020-08-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,SEP FY2011,20,2020-09-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2011,OCT FY2011,11,2020-10-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,NOV FY2011,5,2020-11-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2011,DEC FY2011,22,2020-12-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,JAN FY2012,1,2021-01-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,FEB FY2012,28,2021-02-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,MAR FY2012,217,2021-03-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q3 FY2012,APR FY2012,110,2021-04-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,MAY FY2012,322,2021-05-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUN FY2012,47,2021-06-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q4 FY2012,JUL FY2012,47,2021-07-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,AUG FY2012,26,2021-08-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,SEP FY2012,40,2021-09-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2012,OCT FY2012,282,2021-10-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,NOV FY2012,134,2021-11-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2012,DEC FY2012,65,2021-12-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2022,JAN FY2022,214,2022-01-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,AUG FY2022,52,2022-08-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,SEP FY2022,78,2022-09-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q1 FY2022,OCT FY2022,26,2022-10-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2022,NOV FY2022,132,2022-11-01
CRBU,NCS55FC,NCS-55A1-36H-SYS,Q2 FY2022,DEC FY2022,10,2022-12-01
