Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2007,JAN FY2007,325,2019-01-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2007,FEB FY2007,23,2019-02-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2007,MAR FY2007,7,2019-03-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2007,APR FY2007,625,2019-04-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2007,MAY FY2007,6,2019-05-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2007,JUN FY2007,136,2019-06-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2007,JUL FY2007,270,2019-07-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2007,AUG FY2007,10,2019-08-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2007,SEP FY2007,90,2019-09-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2007,OCT FY2007,177,2019-10-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2007,NOV FY2007,5,2019-11-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2007,DEC FY2007,7,2019-12-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2011,JAN FY2011,106,2020-01-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2011,FEB FY2011,353,2020-02-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2011,MAR FY2011,251,2020-03-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2011,APR FY2011,228,2020-04-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2011,MAY FY2011,137,2020-05-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2011,JUN FY2011,540,2020-06-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2011,JUL FY2011,1283,2020-07-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2011,AUG FY2011,15,2020-08-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2011,SEP FY2011,46,2020-09-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2011,OCT FY2011,2978,2020-10-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2011,NOV FY2011,193,2020-11-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2011,DEC FY2011,82,2020-12-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2012,JAN FY2012,427,2021-01-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2012,FEB FY2012,351,2021-02-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2012,MAR FY2012,320,2021-03-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q3 FY2012,APR FY2012,471,2021-04-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,MAY FY2012,402,2021-05-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,JUN FY2012,616,2021-06-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q4 FY2012,JUL FY2012,112,2021-07-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2012,AUG FY2012,290,2021-08-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2012,SEP FY2012,161,2021-09-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2012,OCT FY2012,327,2021-10-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2012,NOV FY2012,248,2021-11-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2012,DEC FY2012,201,2021-12-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2022,JAN FY2022,633,2022-01-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2022,AUG FY2022,189,2022-08-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2022,SEP FY2022,492,2022-09-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q1 FY2022,OCT FY2022,2700,2022-10-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2022,NOV FY2022,581,2022-11-01
CRBU,NCS55FC,NCS-55A2-MOD-SYS,Q2 FY2022,DEC FY2022,320,2022-12-01
