Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2007,JAN FY2007,4,2019-01-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2007,FEB FY2007,2,2019-02-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2007,MAR FY2007,16,2019-03-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2007,APR FY2007,241,2019-04-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2007,MAY FY2007,0,2019-05-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2007,JUN FY2007,10,2019-06-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2007,JUL FY2007,27,2019-07-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2007,DEC FY2007,100,2019-12-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2011,JAN FY2011,13,2020-01-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2011,FEB FY2011,59,2020-02-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2011,MAR FY2011,18,2020-03-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2011,APR FY2011,70,2020-04-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2011,MAY FY2011,14,2020-05-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2011,JUN FY2011,2,2020-06-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2011,JUL FY2011,40,2020-07-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2011,AUG FY2011,3,2020-08-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2011,SEP FY2011,25,2020-09-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2011,OCT FY2011,17,2020-10-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2011,NOV FY2011,15,2020-11-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2011,DEC FY2011,8,2020-12-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2012,JAN FY2012,90,2021-01-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2012,FEB FY2012,22,2021-02-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2012,MAR FY2012,19,2021-03-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q3 FY2012,APR FY2012,84,2021-04-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,MAY FY2012,104,2021-05-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,JUN FY2012,169,2021-06-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q4 FY2012,JUL FY2012,107,2021-07-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2012,AUG FY2012,1,2021-08-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2012,SEP FY2012,16,2021-09-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2012,OCT FY2012,73,2021-10-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2012,NOV FY2012,24,2021-11-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2012,DEC FY2012,218,2021-12-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2022,JAN FY2022,504,2022-01-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2022,AUG FY2022,166,2022-08-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2022,SEP FY2022,92,2022-09-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q1 FY2022,OCT FY2022,87,2022-10-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2022,NOV FY2022,7,2022-11-01
CRBU,NCS55FC,NCS-55A2-MODS-SYS,Q2 FY2022,DEC FY2022,199,2022-12-01
