Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q3 FY2012,MAR FY2012,1,2021-03-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q3 FY2012,APR FY2012,24,2021-04-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,MAY FY2012,135,2021-05-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUN FY2012,26,2021-06-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q4 FY2012,JUL FY2012,23,2021-07-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q2 FY2022,JAN FY2022,198,2022-01-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,AUG FY2022,23,2022-08-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,SEP FY2022,61,2022-09-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q1 FY2022,OCT FY2022,118,2022-10-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q2 FY2022,NOV FY2022,9,2022-11-01
CRBU,NCS55FC,NCS-57C3-MOD-SYS,Q2 FY2022,DEC FY2022,111,2022-12-01
