Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,NCS1000,NCS1001-K9,Q2 FY2002,JAN FY2002,4,2017-01-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2002,FEB FY2002,14,2017-02-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2002,MAR FY2002,1,2017-03-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2002,APR FY2002,4,2017-04-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2002,MAY FY2002,7,2017-05-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2002,JUN FY2002,4,2017-06-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2002,JUL FY2002,33,2017-07-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2008,JAN FY2008,15,2018-01-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2008,FEB FY2008,8,2018-02-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2008,MAR FY2008,16,2018-03-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2008,APR FY2008,15,2018-04-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2008,MAY FY2008,22,2018-05-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2008,JUN FY2008,8,2018-06-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2008,JUL FY2008,17,2018-07-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2008,AUG FY2008,17,2018-08-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2008,SEP FY2008,52,2018-09-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2008,OCT FY2008,29,2018-10-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2008,NOV FY2008,14,2018-11-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2008,DEC FY2008,4,2018-12-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2007,JAN FY2007,17,2019-01-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2007,FEB FY2007,8,2019-02-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2007,MAR FY2007,5,2019-03-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2007,APR FY2007,39,2019-04-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,MAY FY2007,50,2019-05-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUN FY2007,18,2019-06-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2007,JUL FY2007,93,2019-07-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2007,AUG FY2007,21,2019-08-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2007,SEP FY2007,10,2019-09-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2007,OCT FY2007,75,2019-10-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2007,NOV FY2007,22,2019-11-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2007,DEC FY2007,30,2019-12-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2011,JAN FY2011,54,2020-01-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2011,FEB FY2011,6,2020-02-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2011,MAR FY2011,65,2020-03-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2011,APR FY2011,54,2020-04-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2011,MAY FY2011,4,2020-05-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2011,JUN FY2011,0,2020-06-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2011,JUL FY2011,40,2020-07-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2011,AUG FY2011,10,2020-08-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2011,SEP FY2011,19,2020-09-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2011,OCT FY2011,43,2020-10-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2011,NOV FY2011,52,2020-11-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2011,DEC FY2011,33,2020-12-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2012,JAN FY2012,31,2021-01-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2012,FEB FY2012,3,2021-02-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2012,MAR FY2012,38,2021-03-01
OTBU,NCS1000,NCS1001-K9,Q3 FY2012,APR FY2012,36,2021-04-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2012,MAY FY2012,150,2021-05-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2012,JUN FY2012,199,2021-06-01
OTBU,NCS1000,NCS1001-K9,Q4 FY2012,JUL FY2012,318,2021-07-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2012,AUG FY2012,7,2021-08-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2012,SEP FY2012,24,2021-09-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2012,OCT FY2012,141,2021-10-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2012,NOV FY2012,12,2021-11-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2012,DEC FY2012,28,2021-12-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2022,JAN FY2022,94,2022-01-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2022,AUG FY2022,74,2022-08-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2022,SEP FY2022,31,2022-09-01
OTBU,NCS1000,NCS1001-K9,Q1 FY2022,OCT FY2022,232,2022-10-01
OTBU,NCS1000,NCS1001-K9,Q2 FY2022,NOV FY2022,360,2022-11-01
