Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,15454W,NCS2015-SA-DC,Q3 FY2015,APR FY2015,19,2015-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,MAY FY2015,2,2015-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUN FY2015,39,2015-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2015,JUL FY2015,55,2015-07-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,JAN FY2022,9,2016-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,FEB FY2022,8,2016-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,MAR FY2022,58,2016-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2022,APR FY2022,172,2016-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,MAY FY2022,11,2016-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,JUN FY2022,578,2016-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2022,JUL FY2022,52,2016-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,AUG FY2022,29,2016-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,SEP FY2022,21,2016-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2022,OCT FY2022,57,2016-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,NOV FY2022,40,2016-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,DEC FY2022,22,2016-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,JAN FY2002,85,2017-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,FEB FY2002,90,2017-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,MAR FY2002,97,2017-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2002,APR FY2002,580,2017-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,MAY FY2002,38,2017-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,JUN FY2002,259,2017-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2002,JUL FY2002,114,2017-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,AUG FY2002,15,2017-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,SEP FY2002,19,2017-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2002,OCT FY2002,54,2017-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,NOV FY2002,49,2017-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2002,DEC FY2002,20,2017-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,JAN FY2008,54,2018-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,FEB FY2008,23,2018-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,MAR FY2008,114,2018-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2008,APR FY2008,399,2018-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,MAY FY2008,121,2018-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,JUN FY2008,119,2018-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2008,JUL FY2008,174,2018-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,AUG FY2008,56,2018-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,SEP FY2008,98,2018-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2008,OCT FY2008,83,2018-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,NOV FY2008,21,2018-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2008,DEC FY2008,93,2018-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2007,JAN FY2007,44,2019-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2007,FEB FY2007,47,2019-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2007,MAR FY2007,10,2019-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2007,APR FY2007,30,2019-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,MAY FY2007,29,2019-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,JUN FY2007,30,2019-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2007,JUL FY2007,55,2019-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2007,AUG FY2007,9,2019-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2007,SEP FY2007,7,2019-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2007,OCT FY2007,13,2019-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2007,NOV FY2007,109,2019-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2007,DEC FY2007,48,2019-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2011,JAN FY2011,84,2020-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2011,FEB FY2011,38,2020-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2011,MAR FY2011,13,2020-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2011,APR FY2011,61,2020-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2011,MAY FY2011,28,2020-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2011,JUN FY2011,14,2020-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2011,JUL FY2011,56,2020-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2011,AUG FY2011,6,2020-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2011,SEP FY2011,12,2020-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2011,OCT FY2011,72,2020-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2011,NOV FY2011,26,2020-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2011,DEC FY2011,111,2020-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2012,JAN FY2012,193,2021-01-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2012,FEB FY2012,255,2021-02-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2012,MAR FY2012,140,2021-03-01
OTBU,15454W,NCS2015-SA-DC,Q3 FY2012,APR FY2012,35,2021-04-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2012,MAY FY2012,173,2021-05-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2012,JUN FY2012,48,2021-06-01
OTBU,15454W,NCS2015-SA-DC,Q4 FY2012,JUL FY2012,188,2021-07-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2012,AUG FY2012,4,2021-08-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2012,SEP FY2012,71,2021-09-01
OTBU,15454W,NCS2015-SA-DC,Q1 FY2012,OCT FY2012,197,2021-10-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2012,NOV FY2012,31,2021-11-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2012,DEC FY2012,30,2021-12-01
OTBU,15454W,NCS2015-SA-DC,Q2 FY2022,JAN FY2022,71,2022-01-01
