Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,MAY FY2015,2,2015-05-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,JUN FY2015,38,2015-06-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2015,JUL FY2015,130,2015-07-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,JAN FY2022,34,2016-01-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,FEB FY2022,8,2016-02-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,MAR FY2022,148,2016-03-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2022,APR FY2022,145,2016-04-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2022,MAY FY2022,2,2016-05-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2022,JUN FY2022,633,2016-06-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2022,JUL FY2022,42,2016-07-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,AUG FY2022,12,2016-08-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,SEP FY2022,16,2016-09-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2022,OCT FY2022,31,2016-10-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,NOV FY2022,20,2016-11-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2022,DEC FY2022,11,2016-12-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,JAN FY2002,90,2017-01-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,FEB FY2002,13,2017-02-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,MAR FY2002,78,2017-03-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2002,APR FY2002,97,2017-04-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2002,MAY FY2002,15,2017-05-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2002,JUN FY2002,424,2017-06-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2002,JUL FY2002,147,2017-07-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,AUG FY2002,15,2017-08-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,SEP FY2002,88,2017-09-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q1 FY2002,OCT FY2002,120,2017-10-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,NOV FY2002,120,2017-11-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2002,DEC FY2002,99,2017-12-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q2 FY2008,JAN FY2008,116,2018-01-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,FEB FY2008,171,2018-02-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,MAR FY2008,120,2018-03-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q3 FY2008,APR FY2008,497,2018-04-01
OTBU,15454W,NCS2K-16-AD-CCOFS=,Q4 FY2008,MAY FY2008,288,2018-05-01
