Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2022,JUL FY2022,53,2016-07-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,JAN FY2002,99,2017-01-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,FEB FY2002,4,2017-02-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,MAR FY2002,144,2017-03-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2002,APR FY2002,113,2017-04-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,MAY FY2002,12,2017-05-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,JUN FY2002,56,2017-06-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2002,JUL FY2002,281,2017-07-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,AUG FY2002,1,2017-08-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,SEP FY2002,0,2017-09-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2002,OCT FY2002,93,2017-10-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,NOV FY2002,10,2017-11-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2002,DEC FY2002,43,2017-12-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2008,JAN FY2008,459,2018-01-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,FEB FY2008,70,2018-02-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,MAR FY2008,90,2018-03-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2008,APR FY2008,190,2018-04-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2008,MAY FY2008,113,2018-05-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2008,JUN FY2008,110,2018-06-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2008,JUL FY2008,934,2018-07-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2008,AUG FY2008,8,2018-08-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2008,SEP FY2008,50,2018-09-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2008,OCT FY2008,178,2018-10-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2008,NOV FY2008,149,2018-11-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2008,DEC FY2008,85,2018-12-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2007,JAN FY2007,417,2019-01-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2007,FEB FY2007,64,2019-02-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2007,MAR FY2007,213,2019-03-01
OTBU,15454W,NCS2K-400G-XP=,Q3 FY2007,APR FY2007,419,2019-04-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,MAY FY2007,208,2019-05-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,JUN FY2007,264,2019-06-01
OTBU,15454W,NCS2K-400G-XP=,Q4 FY2007,JUL FY2007,226,2019-07-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2007,AUG FY2007,96,2019-08-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2007,SEP FY2007,182,2019-09-01
OTBU,15454W,NCS2K-400G-XP=,Q1 FY2007,OCT FY2007,311,2019-10-01
OTBU,15454W,NCS2K-400G-XP=,Q2 FY2007,NOV FY2007,601,2019-11-01
