Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2007,JAN FY2007,3,2019-01-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,FEB FY2007,9,2019-02-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,MAR FY2007,0,2019-03-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2007,APR FY2007,94,2019-04-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,MAY FY2007,200,2019-05-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUN FY2007,38,2019-06-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2007,JUL FY2007,31,2019-07-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,JAN FY2011,14,2020-01-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,FEB FY2011,80,2020-02-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,MAR FY2011,279,2020-03-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2011,APR FY2011,68,2020-04-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,MAY FY2011,87,2020-05-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,JUN FY2011,28,2020-06-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2011,JUL FY2011,113,2020-07-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,AUG FY2011,0,2020-08-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,SEP FY2011,9,2020-09-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2011,OCT FY2011,9,2020-10-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,NOV FY2011,2,2020-11-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2011,DEC FY2011,0,2020-12-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,JAN FY2012,13,2021-01-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,FEB FY2012,55,2021-02-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,MAR FY2012,71,2021-03-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q3 FY2012,APR FY2012,20,2021-04-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,MAY FY2012,192,2021-05-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,JUN FY2012,256,2021-06-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q4 FY2012,JUL FY2012,281,2021-07-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,AUG FY2012,42,2021-08-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,SEP FY2012,51,2021-09-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2012,OCT FY2012,146,2021-10-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,NOV FY2012,40,2021-11-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2012,DEC FY2012,66,2021-12-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2022,JAN FY2022,113,2022-01-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,AUG FY2022,310,2022-08-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,SEP FY2022,10,2022-09-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q1 FY2022,OCT FY2022,93,2022-10-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2022,NOV FY2022,21,2022-11-01
OTBU,15454W,NCS2K-TNCS-2O-K9,Q2 FY2022,DEC FY2022,476,2022-12-01
