Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
BATBU,NCS4200,NCS4202-SA,Q3 FY2022,MAR FY2022,0,2016-03-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2022,JUN FY2022,0,2016-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2022,JUL FY2022,1,2016-07-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2002,JAN FY2002,0,2017-01-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2002,FEB FY2002,0,2017-02-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2002,MAR FY2002,9,2017-03-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2002,APR FY2002,2,2017-04-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2002,JUN FY2002,4,2017-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2002,JUL FY2002,6,2017-07-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2002,AUG FY2002,2,2017-08-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2002,SEP FY2002,1,2017-09-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2002,NOV FY2002,5,2017-11-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2002,DEC FY2002,6,2017-12-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2008,FEB FY2008,0,2018-02-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2008,MAR FY2008,4,2018-03-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2008,APR FY2008,90,2018-04-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2008,MAY FY2008,4,2018-05-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2008,JUN FY2008,84,2018-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2008,JUL FY2008,8,2018-07-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2008,SEP FY2008,0,2018-09-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2008,DEC FY2008,4,2018-12-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2007,JAN FY2007,592,2019-01-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2007,FEB FY2007,3,2019-02-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2007,MAR FY2007,1,2019-03-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2007,APR FY2007,205,2019-04-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,MAY FY2007,0,2019-05-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUN FY2007,0,2019-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2007,JUL FY2007,61,2019-07-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2007,AUG FY2007,2,2019-08-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2007,SEP FY2007,815,2019-09-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2007,OCT FY2007,27,2019-10-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2007,NOV FY2007,19,2019-11-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2007,DEC FY2007,39,2019-12-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2011,JAN FY2011,6,2020-01-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2011,FEB FY2011,30,2020-02-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2011,MAR FY2011,76,2020-03-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2011,APR FY2011,139,2020-04-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2011,MAY FY2011,5,2020-05-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2011,JUN FY2011,172,2020-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2011,JUL FY2011,4,2020-07-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2011,AUG FY2011,7,2020-08-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2011,SEP FY2011,3,2020-09-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2011,OCT FY2011,5,2020-10-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2011,NOV FY2011,0,2020-11-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2011,DEC FY2011,62,2020-12-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2012,JAN FY2012,37,2021-01-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2012,FEB FY2012,37,2021-02-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2012,MAR FY2012,1,2021-03-01
BATBU,NCS4200,NCS4202-SA,Q3 FY2012,APR FY2012,6,2021-04-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2012,MAY FY2012,418,2021-05-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2012,JUN FY2012,152,2021-06-01
BATBU,NCS4200,NCS4202-SA,Q4 FY2012,JUL FY2012,454,2021-07-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2012,AUG FY2012,5,2021-08-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2012,SEP FY2012,5,2021-09-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2012,OCT FY2012,5,2021-10-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2012,NOV FY2012,0,2021-11-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2012,DEC FY2012,1,2021-12-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2022,JAN FY2022,5,2022-01-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2022,AUG FY2022,2088,2022-08-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2022,SEP FY2022,3066,2022-09-01
BATBU,NCS4200,NCS4202-SA,Q1 FY2022,OCT FY2022,34,2022-10-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2022,NOV FY2022,20,2022-11-01
BATBU,NCS4200,NCS4202-SA,Q2 FY2022,DEC FY2022,3178,2022-12-01
