Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUN FY2008,0,2018-06-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2008,JUL FY2008,36,2018-07-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,NOV FY2008,1,2018-11-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2008,DEC FY2008,1,2018-12-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,FEB FY2007,5,2019-02-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,MAR FY2007,0,2019-03-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2007,APR FY2007,40,2019-04-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,MAY FY2007,191,2019-05-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUN FY2007,1,2019-06-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2007,JUL FY2007,20,2019-07-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2007,OCT FY2007,0,2019-10-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,FEB FY2011,15,2020-02-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2011,APR FY2011,6,2020-04-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,MAY FY2011,0,2020-05-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUN FY2011,0,2020-06-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2011,JUL FY2011,58,2020-07-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,AUG FY2011,0,2020-08-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,SEP FY2011,0,2020-09-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2011,OCT FY2011,0,2020-10-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,NOV FY2011,0,2020-11-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2011,DEC FY2011,0,2020-12-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,FEB FY2012,0,2021-02-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q3 FY2012,APR FY2012,0,2021-04-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,MAY FY2012,38,2021-05-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q4 FY2012,JUL FY2012,0,2021-07-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,AUG FY2012,40,2021-08-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,SEP FY2012,0,2021-09-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2012,OCT FY2012,171,2021-10-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,NOV FY2012,373,2021-11-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2012,DEC FY2012,0,2021-12-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2022,JAN FY2022,0,2022-01-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,AUG FY2022,4,2022-08-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,SEP FY2022,2,2022-09-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q1 FY2022,OCT FY2022,6,2022-10-01
OTBU,NCS4000,NCS4K-4H-OPW-LO,Q2 FY2022,DEC FY2022,0,2022-12-01
