Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
SRSBU,WANLAN,NIM-24A,Q2 FY2002,JAN FY2002,34,2017-01-01
SRSBU,WANLAN,NIM-24A,Q3 FY2002,FEB FY2002,73,2017-02-01
SRSBU,WANLAN,NIM-24A,Q3 FY2002,MAR FY2002,86,2017-03-01
SRSBU,WANLAN,NIM-24A,Q3 FY2002,APR FY2002,342,2017-04-01
SRSBU,WANLAN,NIM-24A,Q4 FY2002,MAY FY2002,190,2017-05-01
SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUN FY2002,410,2017-06-01
SRSBU,WANLAN,NIM-24A,Q4 FY2002,JUL FY2002,286,2017-07-01
SRSBU,WANLAN,NIM-24A,Q1 FY2002,AUG FY2002,0,2017-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2002,SEP FY2002,0,2017-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2002,OCT FY2002,77,2017-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2002,NOV FY2002,60,2017-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2002,DEC FY2002,44,2017-12-01
SRSBU,WANLAN,NIM-24A,Q2 FY2008,JAN FY2008,2091,2018-01-01
SRSBU,WANLAN,NIM-24A,Q3 FY2008,FEB FY2008,2469,2018-02-01
SRSBU,WANLAN,NIM-24A,Q3 FY2008,MAR FY2008,5859,2018-03-01
SRSBU,WANLAN,NIM-24A,Q3 FY2008,APR FY2008,4539,2018-04-01
SRSBU,WANLAN,NIM-24A,Q4 FY2008,MAY FY2008,1866,2018-05-01
SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUN FY2008,3370,2018-06-01
SRSBU,WANLAN,NIM-24A,Q4 FY2008,JUL FY2008,4046,2018-07-01
SRSBU,WANLAN,NIM-24A,Q1 FY2008,AUG FY2008,77,2018-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2008,SEP FY2008,222,2018-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2008,OCT FY2008,309,2018-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2008,NOV FY2008,246,2018-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2008,DEC FY2008,1409,2018-12-01
SRSBU,WANLAN,NIM-24A,Q2 FY2007,JAN FY2007,3592,2019-01-01
SRSBU,WANLAN,NIM-24A,Q3 FY2007,FEB FY2007,3564,2019-02-01
SRSBU,WANLAN,NIM-24A,Q3 FY2007,MAR FY2007,4016,2019-03-01
SRSBU,WANLAN,NIM-24A,Q3 FY2007,APR FY2007,6360,2019-04-01
SRSBU,WANLAN,NIM-24A,Q4 FY2007,MAY FY2007,5998,2019-05-01
SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUN FY2007,7502,2019-06-01
SRSBU,WANLAN,NIM-24A,Q4 FY2007,JUL FY2007,7789,2019-07-01
SRSBU,WANLAN,NIM-24A,Q1 FY2007,AUG FY2007,1425,2019-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2007,SEP FY2007,906,2019-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2007,OCT FY2007,2923,2019-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2007,NOV FY2007,1377,2019-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2007,DEC FY2007,2459,2019-12-01
SRSBU,WANLAN,NIM-24A,Q2 FY2011,JAN FY2011,2630,2020-01-01
SRSBU,WANLAN,NIM-24A,Q3 FY2011,FEB FY2011,4323,2020-02-01
SRSBU,WANLAN,NIM-24A,Q3 FY2011,MAR FY2011,3366,2020-03-01
SRSBU,WANLAN,NIM-24A,Q3 FY2011,APR FY2011,7950,2020-04-01
SRSBU,WANLAN,NIM-24A,Q4 FY2011,MAY FY2011,1183,2020-05-01
SRSBU,WANLAN,NIM-24A,Q4 FY2011,JUN FY2011,630,2020-06-01
SRSBU,WANLAN,NIM-24A,Q4 FY2011,JUL FY2011,167,2020-07-01
SRSBU,WANLAN,NIM-24A,Q1 FY2011,AUG FY2011,2154,2020-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2011,SEP FY2011,3337,2020-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2011,OCT FY2011,10413,2020-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2011,NOV FY2011,2968,2020-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2011,DEC FY2011,10216,2020-12-01
SRSBU,WANLAN,NIM-24A,Q2 FY2012,JAN FY2012,2131,2021-01-01
SRSBU,WANLAN,NIM-24A,Q3 FY2012,FEB FY2012,2631,2021-02-01
SRSBU,WANLAN,NIM-24A,Q3 FY2012,MAR FY2012,3595,2021-03-01
SRSBU,WANLAN,NIM-24A,Q3 FY2012,APR FY2012,6099,2021-04-01
SRSBU,WANLAN,NIM-24A,Q4 FY2012,MAY FY2012,4442,2021-05-01
SRSBU,WANLAN,NIM-24A,Q4 FY2012,JUN FY2012,1514,2021-06-01
SRSBU,WANLAN,NIM-24A,Q4 FY2012,JUL FY2012,2117,2021-07-01
SRSBU,WANLAN,NIM-24A,Q1 FY2012,AUG FY2012,4051,2021-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2012,SEP FY2012,1924,2021-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2012,OCT FY2012,2734,2021-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2012,NOV FY2012,3966,2021-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2012,DEC FY2012,888,2021-12-01
SRSBU,WANLAN,NIM-24A,Q2 FY2022,JAN FY2022,8895,2022-01-01
SRSBU,WANLAN,NIM-24A,Q1 FY2022,AUG FY2022,5892,2022-08-01
SRSBU,WANLAN,NIM-24A,Q1 FY2022,SEP FY2022,1583,2022-09-01
SRSBU,WANLAN,NIM-24A,Q1 FY2022,OCT FY2022,5103,2022-10-01
SRSBU,WANLAN,NIM-24A,Q2 FY2022,NOV FY2022,3658,2022-11-01
SRSBU,WANLAN,NIM-24A,Q2 FY2022,DEC FY2022,13574,2022-12-01
