Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2015,JUL FY2015,14,2015-07-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2022,JAN FY2022,57,2016-01-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2022,FEB FY2022,8,2016-02-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2022,MAR FY2022,93,2016-03-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2022,APR FY2022,117,2016-04-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2022,MAY FY2022,598,2016-05-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2022,JUN FY2022,214,2016-06-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2022,JUL FY2022,2108,2016-07-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,AUG FY2022,4,2016-08-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,SEP FY2022,0,2016-09-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2022,OCT FY2022,6,2016-10-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2022,NOV FY2022,0,2016-11-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2022,DEC FY2022,0,2016-12-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2002,JAN FY2002,793,2017-01-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2002,FEB FY2002,243,2017-02-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2002,MAR FY2002,918,2017-03-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2002,APR FY2002,730,2017-04-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2002,MAY FY2002,397,2017-05-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2002,JUN FY2002,1730,2017-06-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2002,JUL FY2002,810,2017-07-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,AUG FY2002,51,2017-08-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,SEP FY2002,290,2017-09-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2002,OCT FY2002,1293,2017-10-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2002,NOV FY2002,435,2017-11-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2002,DEC FY2002,1034,2017-12-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2008,JAN FY2008,1554,2018-01-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2008,FEB FY2008,632,2018-02-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2008,MAR FY2008,178,2018-03-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2008,APR FY2008,1736,2018-04-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2008,MAY FY2008,824,2018-05-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2008,JUN FY2008,231,2018-06-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2008,JUL FY2008,2632,2018-07-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,AUG FY2008,788,2018-08-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,SEP FY2008,704,2018-09-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2008,OCT FY2008,1061,2018-10-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2008,NOV FY2008,1266,2018-11-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2008,DEC FY2008,797,2018-12-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2007,JAN FY2007,1134,2019-01-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2007,FEB FY2007,349,2019-02-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2007,MAR FY2007,1750,2019-03-01
OTBU,ONS,ONS-CFP2-WDM=,Q3 FY2007,APR FY2007,1687,2019-04-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,MAY FY2007,572,2019-05-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,JUN FY2007,585,2019-06-01
OTBU,ONS,ONS-CFP2-WDM=,Q4 FY2007,JUL FY2007,1876,2019-07-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,AUG FY2007,349,2019-08-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,SEP FY2007,865,2019-09-01
OTBU,ONS,ONS-CFP2-WDM=,Q1 FY2007,OCT FY2007,951,2019-10-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2007,NOV FY2007,1717,2019-11-01
OTBU,ONS,ONS-CFP2-WDM=,Q2 FY2007,DEC FY2007,1012,2019-12-01
