Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q3 FY2012,MAR FY2012,425,2021-03-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q3 FY2012,APR FY2012,39,2021-04-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q4 FY2012,MAY FY2012,174,2021-05-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q4 FY2012,JUN FY2012,290,2021-06-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q4 FY2012,JUL FY2012,1032,2021-07-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q2 FY2022,JAN FY2022,294,2022-01-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q1 FY2022,AUG FY2022,382,2022-08-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q1 FY2022,SEP FY2022,13,2022-09-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q1 FY2022,OCT FY2022,337,2022-10-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q2 FY2022,NOV FY2022,20,2022-11-01
TOASTBU,QDD400G,QDD-4X100G-FR-S,Q2 FY2022,DEC FY2022,1014,2022-12-01
