Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,MAR FY2022,0,2016-03-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2022,APR FY2022,80,2016-04-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,MAY FY2022,2,2016-05-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,JUN FY2022,39,2016-06-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2022,JUL FY2022,4,2016-07-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,JAN FY2002,69,2017-01-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,FEB FY2002,13,2017-02-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,MAR FY2002,84,2017-03-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2002,APR FY2002,68,2017-04-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,MAY FY2002,26,2017-05-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,JUN FY2002,192,2017-06-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2002,JUL FY2002,306,2017-07-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,AUG FY2002,2,2017-08-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,SEP FY2002,1,2017-09-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2002,OCT FY2002,22,2017-10-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,NOV FY2002,36,2017-11-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2002,DEC FY2002,127,2017-12-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,JAN FY2008,64,2018-01-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,FEB FY2008,72,2018-02-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,MAR FY2008,269,2018-03-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2008,APR FY2008,436,2018-04-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,MAY FY2008,292,2018-05-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,JUN FY2008,206,2018-06-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2008,JUL FY2008,1646,2018-07-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,AUG FY2008,8,2018-08-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,SEP FY2008,190,2018-09-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2008,OCT FY2008,156,2018-10-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,NOV FY2008,124,2018-11-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2008,DEC FY2008,168,2018-12-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,JAN FY2007,201,2019-01-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,FEB FY2007,252,2019-02-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,MAR FY2007,374,2019-03-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2007,APR FY2007,380,2019-04-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2007,MAY FY2007,215,2019-05-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2007,JUN FY2007,505,2019-06-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2007,JUL FY2007,1623,2019-07-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,AUG FY2007,100,2019-08-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,SEP FY2007,241,2019-09-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2007,OCT FY2007,341,2019-10-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,NOV FY2007,817,2019-11-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2007,DEC FY2007,423,2019-12-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2011,JAN FY2011,353,2020-01-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2011,FEB FY2011,333,2020-02-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2011,MAR FY2011,319,2020-03-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q3 FY2011,APR FY2011,1201,2020-04-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2011,MAY FY2011,1299,2020-05-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2011,JUN FY2011,633,2020-06-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q4 FY2011,JUL FY2011,4230,2020-07-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,AUG FY2011,115,2020-08-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,SEP FY2011,340,2020-09-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q1 FY2011,OCT FY2011,830,2020-10-01
TOASTBU,QSFP100,QSFP-100G-AOC3M,Q2 FY2011,NOV FY2011,554,2020-11-01
