Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,FEB FY2022,0,2016-02-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,MAR FY2022,0,2016-03-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2022,APR FY2022,18,2016-04-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,MAY FY2022,43,2016-05-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,JUN FY2022,328,2016-06-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2022,JUL FY2022,645,2016-07-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,JAN FY2002,255,2017-01-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,FEB FY2002,128,2017-02-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,MAR FY2002,1300,2017-03-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2002,APR FY2002,797,2017-04-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,MAY FY2002,962,2017-05-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,JUN FY2002,706,2017-06-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2002,JUL FY2002,1030,2017-07-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,AUG FY2002,24,2017-08-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,SEP FY2002,60,2017-09-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2002,OCT FY2002,267,2017-10-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,NOV FY2002,538,2017-11-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2002,DEC FY2002,986,2017-12-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q2 FY2008,JAN FY2008,4728,2018-01-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,FEB FY2008,1694,2018-02-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,MAR FY2008,1193,2018-03-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q3 FY2008,APR FY2008,1750,2018-04-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,MAY FY2008,1022,2018-05-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,JUN FY2008,1027,2018-06-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q4 FY2008,JUL FY2008,4555,2018-07-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2008,AUG FY2008,352,2018-08-01
TOASTBU,QSFP100,QSFP-100G-CWDM4-S,Q1 FY2008,SEP FY2008,1330,2018-09-01
