Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,JAN FY2012,1057,2021-01-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,FEB FY2012,164,2021-02-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,MAR FY2012,6017,2021-03-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q3 FY2012,APR FY2012,2174,2021-04-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,MAY FY2012,2613,2021-05-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUN FY2012,607,2021-06-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q4 FY2012,JUL FY2012,3763,2021-07-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,SEP FY2012,32,2021-09-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2012,OCT FY2012,14,2021-10-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,NOV FY2012,160,2021-11-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2012,DEC FY2012,393,2021-12-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,JAN FY2022,15410,2022-01-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,AUG FY2022,2013,2022-08-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,SEP FY2022,816,2022-09-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q1 FY2022,OCT FY2022,5062,2022-10-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,NOV FY2022,15488,2022-11-01
TOASTBU,QSFP100,QSFP-100G-DR-S,Q2 FY2022,DEC FY2022,6624,2022-12-01
