Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,JAN FY2008,45,2018-01-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,FEB FY2008,36,2018-02-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,MAR FY2008,25,2018-03-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2008,APR FY2008,105,2018-04-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,MAY FY2008,31,2018-05-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,JUN FY2008,20,2018-06-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2008,JUL FY2008,166,2018-07-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2008,SEP FY2008,18,2018-09-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2008,OCT FY2008,40,2018-10-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,NOV FY2008,58,2018-11-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2008,DEC FY2008,324,2018-12-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,JAN FY2007,93,2019-01-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,FEB FY2007,83,2019-02-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,MAR FY2007,120,2019-03-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2007,APR FY2007,757,2019-04-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,MAY FY2007,619,2019-05-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,JUN FY2007,387,2019-06-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2007,JUL FY2007,459,2019-07-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,AUG FY2007,24,2019-08-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,SEP FY2007,51,2019-09-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2007,OCT FY2007,62,2019-10-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,NOV FY2007,118,2019-11-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2007,DEC FY2007,719,2019-12-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q2 FY2011,JAN FY2011,1309,2020-01-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2011,FEB FY2011,249,2020-02-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2011,MAR FY2011,226,2020-03-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q3 FY2011,APR FY2011,250,2020-04-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2011,MAY FY2011,458,2020-05-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2011,JUN FY2011,81,2020-06-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q4 FY2011,JUL FY2011,1017,2020-07-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2011,AUG FY2011,146,2020-08-01
TOASTBU,QSFP100,QSFP-100G-ER4L-S,Q1 FY2011,SEP FY2011,98,2020-09-01
