Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2022,JAN FY2022,19,2016-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2022,FEB FY2022,30,2016-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2022,MAR FY2022,28,2016-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2022,APR FY2022,134,2016-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2022,MAY FY2022,560,2016-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2022,JUN FY2022,455,2016-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2022,JUL FY2022,722,2016-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2022,DEC FY2022,2,2016-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2002,JAN FY2002,6690,2017-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2002,FEB FY2002,2092,2017-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2002,MAR FY2002,2203,2017-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2002,APR FY2002,3225,2017-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2002,MAY FY2002,2877,2017-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2002,JUN FY2002,3350,2017-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2002,JUL FY2002,6184,2017-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2002,AUG FY2002,114,2017-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2002,SEP FY2002,44,2017-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2002,OCT FY2002,2735,2017-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2002,NOV FY2002,993,2017-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2002,DEC FY2002,1030,2017-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2008,JAN FY2008,2785,2018-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2008,FEB FY2008,1974,2018-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2008,MAR FY2008,1493,2018-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2008,APR FY2008,5510,2018-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2008,MAY FY2008,2752,2018-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2008,JUN FY2008,3270,2018-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2008,JUL FY2008,5689,2018-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2008,AUG FY2008,1360,2018-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2008,SEP FY2008,907,2018-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2008,OCT FY2008,2863,2018-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2008,NOV FY2008,1324,2018-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2008,DEC FY2008,2052,2018-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2007,JAN FY2007,13654,2019-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2007,FEB FY2007,2024,2019-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2007,MAR FY2007,3237,2019-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2007,APR FY2007,7592,2019-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2007,MAY FY2007,2765,2019-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2007,JUN FY2007,8326,2019-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2007,JUL FY2007,5954,2019-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2007,AUG FY2007,2252,2019-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2007,SEP FY2007,3315,2019-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2007,OCT FY2007,8561,2019-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2007,NOV FY2007,2783,2019-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2007,DEC FY2007,10357,2019-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2011,JAN FY2011,15493,2020-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2011,FEB FY2011,4974,2020-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2011,MAR FY2011,19963,2020-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2011,APR FY2011,22244,2020-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2011,MAY FY2011,2480,2020-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2011,JUN FY2011,4020,2020-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2011,JUL FY2011,14043,2020-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2011,AUG FY2011,4567,2020-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2011,SEP FY2011,5981,2020-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2011,OCT FY2011,22450,2020-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2011,NOV FY2011,4490,2020-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2011,DEC FY2011,8326,2020-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2012,JAN FY2012,25139,2021-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2012,FEB FY2012,5944,2021-02-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2012,MAR FY2012,11388,2021-03-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q3 FY2012,APR FY2012,14083,2021-04-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2012,MAY FY2012,12196,2021-05-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2012,JUN FY2012,11418,2021-06-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q4 FY2012,JUL FY2012,16595,2021-07-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2012,AUG FY2012,9557,2021-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2012,SEP FY2012,6749,2021-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2012,OCT FY2012,12748,2021-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2012,NOV FY2012,6578,2021-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2012,DEC FY2012,13759,2021-12-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2022,JAN FY2022,20652,2022-01-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2022,AUG FY2022,4897,2022-08-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2022,SEP FY2022,6542,2022-09-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q1 FY2022,OCT FY2022,14558,2022-10-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2022,NOV FY2022,19120,2022-11-01
TOASTBU,QSFP100,QSFP-100G-LR4-S,Q2 FY2022,DEC FY2022,8021,2022-12-01
