Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,JAN FY2002,114,2017-01-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,FEB FY2002,72,2017-02-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,MAR FY2002,394,2017-03-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2002,APR FY2002,1066,2017-04-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,MAY FY2002,145,2017-05-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,JUN FY2002,425,2017-06-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2002,JUL FY2002,1750,2017-07-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,NOV FY2002,240,2017-11-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2002,DEC FY2002,20,2017-12-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2008,JAN FY2008,1073,2018-01-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,FEB FY2008,1007,2018-02-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,MAR FY2008,1274,2018-03-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2008,APR FY2008,2876,2018-04-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,MAY FY2008,526,2018-05-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,JUN FY2008,1136,2018-06-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2008,JUL FY2008,2141,2018-07-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,AUG FY2008,404,2018-08-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,SEP FY2008,794,2018-09-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2008,OCT FY2008,2031,2018-10-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2008,NOV FY2008,1366,2018-11-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2008,DEC FY2008,1005,2018-12-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2007,JAN FY2007,1052,2019-01-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2007,FEB FY2007,1555,2019-02-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2007,MAR FY2007,3763,2019-03-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q3 FY2007,APR FY2007,6559,2019-04-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2007,MAY FY2007,4919,2019-05-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2007,JUN FY2007,15101,2019-06-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q4 FY2007,JUL FY2007,8456,2019-07-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2007,AUG FY2007,938,2019-08-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2007,SEP FY2007,1911,2019-09-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q1 FY2007,OCT FY2007,3237,2019-10-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2007,NOV FY2007,1275,2019-11-01
TOASTBU,QSFP100,QSFP-100G-SM-SR,Q2 FY2007,DEC FY2007,4621,2019-12-01
