Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2008,JAN FY2008,2950,2018-01-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2008,FEB FY2008,3392,2018-02-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2008,MAR FY2008,6513,2018-03-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2008,APR FY2008,8096,2018-04-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2008,MAY FY2008,5989,2018-05-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2008,JUN FY2008,11400,2018-06-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2008,JUL FY2008,16495,2018-07-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2008,NOV FY2008,0,2018-11-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2008,DEC FY2008,1366,2018-12-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2007,JAN FY2007,14859,2019-01-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2007,FEB FY2007,10373,2019-02-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2007,MAR FY2007,15484,2019-03-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2007,APR FY2007,40017,2019-04-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,MAY FY2007,16016,2019-05-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,JUN FY2007,14297,2019-06-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2007,JUL FY2007,41706,2019-07-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2007,AUG FY2007,7808,2019-08-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2007,SEP FY2007,7228,2019-09-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2007,OCT FY2007,22950,2019-10-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2007,NOV FY2007,20103,2019-11-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2007,DEC FY2007,20560,2019-12-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2011,JAN FY2011,32262,2020-01-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2011,FEB FY2011,25608,2020-02-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2011,MAR FY2011,26684,2020-03-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2011,APR FY2011,49212,2020-04-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2011,MAY FY2011,18908,2020-05-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2011,JUN FY2011,20473,2020-06-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2011,JUL FY2011,47792,2020-07-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2011,AUG FY2011,14487,2020-08-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2011,SEP FY2011,18550,2020-09-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2011,OCT FY2011,33979,2020-10-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2011,NOV FY2011,25089,2020-11-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2011,DEC FY2011,22080,2020-12-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2012,JAN FY2012,52792,2021-01-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2012,FEB FY2012,39888,2021-02-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2012,MAR FY2012,35619,2021-03-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q3 FY2012,APR FY2012,53122,2021-04-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2012,MAY FY2012,39800,2021-05-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2012,JUN FY2012,34888,2021-06-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q4 FY2012,JUL FY2012,104437,2021-07-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2012,AUG FY2012,18044,2021-08-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2012,SEP FY2012,28730,2021-09-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2012,OCT FY2012,56075,2021-10-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2012,NOV FY2012,38218,2021-11-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2012,DEC FY2012,35365,2021-12-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2022,JAN FY2022,80981,2022-01-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2022,AUG FY2022,35520,2022-08-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2022,SEP FY2022,28864,2022-09-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q1 FY2022,OCT FY2022,74366,2022-10-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2022,NOV FY2022,66699,2022-11-01
TOASTBU,QSFP100,QSFP-40/100-SRBD,Q2 FY2022,DEC FY2022,61080,2022-12-01
