Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2007,JAN FY2007,929,2019-01-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2007,FEB FY2007,1327,2019-02-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2007,MAR FY2007,2177,2019-03-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2007,APR FY2007,4177,2019-04-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2007,MAY FY2007,1708,2019-05-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2007,JUN FY2007,1554,2019-06-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2007,JUL FY2007,5961,2019-07-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2007,SEP FY2007,1012,2019-09-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2007,OCT FY2007,556,2019-10-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2007,NOV FY2007,652,2019-11-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2007,DEC FY2007,1506,2019-12-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2011,JAN FY2011,12225,2020-01-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2011,FEB FY2011,3196,2020-02-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2011,MAR FY2011,5409,2020-03-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2011,APR FY2011,22985,2020-04-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2011,MAY FY2011,3296,2020-05-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2011,JUN FY2011,5297,2020-06-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2011,JUL FY2011,14614,2020-07-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2011,AUG FY2011,1761,2020-08-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2011,SEP FY2011,3150,2020-09-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2011,OCT FY2011,6233,2020-10-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2011,NOV FY2011,4295,2020-11-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2011,DEC FY2011,7044,2020-12-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2012,JAN FY2012,16763,2021-01-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2012,FEB FY2012,14298,2021-02-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2012,MAR FY2012,23993,2021-03-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q3 FY2012,APR FY2012,14704,2021-04-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2012,MAY FY2012,6081,2021-05-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2012,JUN FY2012,20304,2021-06-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q4 FY2012,JUL FY2012,35482,2021-07-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2012,AUG FY2012,3072,2021-08-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2012,SEP FY2012,5999,2021-09-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2012,OCT FY2012,21818,2021-10-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2012,NOV FY2012,9112,2021-11-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2012,DEC FY2012,9855,2021-12-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2022,JAN FY2022,20825,2022-01-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2022,AUG FY2022,16675,2022-08-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2022,SEP FY2022,15471,2022-09-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q1 FY2022,OCT FY2022,37473,2022-10-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2022,NOV FY2022,19045,2022-11-01
TOASTBU,SEP25G,SFP-10/25G-CSR-S,Q2 FY2022,DEC FY2022,10280,2022-12-01
