Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2014,MAR FY2014,0,2014-03-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2015,JAN FY2015,156,2015-01-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,FEB FY2015,494,2015-02-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,MAR FY2015,2503,2015-03-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2015,APR FY2015,4385,2015-04-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,MAY FY2015,2908,2015-05-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUN FY2015,5480,2015-06-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2015,JUL FY2015,12665,2015-07-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,JAN FY2022,10647,2016-01-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,FEB FY2022,8000,2016-02-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,MAR FY2022,8256,2016-03-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2022,APR FY2022,13519,2016-04-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,MAY FY2022,9136,2016-05-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,JUN FY2022,11431,2016-06-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2022,JUL FY2022,32575,2016-07-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,AUG FY2022,4037,2016-08-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,SEP FY2022,2927,2016-09-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2022,OCT FY2022,10075,2016-10-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,NOV FY2022,7033,2016-11-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2022,DEC FY2022,6583,2016-12-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,JAN FY2002,24102,2017-01-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,FEB FY2002,10276,2017-02-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,MAR FY2002,12186,2017-03-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2002,APR FY2002,24308,2017-04-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,MAY FY2002,12155,2017-05-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,JUN FY2002,18083,2017-06-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2002,JUL FY2002,27259,2017-07-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,AUG FY2002,4503,2017-08-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,SEP FY2002,12578,2017-09-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2002,OCT FY2002,23491,2017-10-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,NOV FY2002,9505,2017-11-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2002,DEC FY2002,13589,2017-12-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2008,JAN FY2008,28767,2018-01-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,FEB FY2008,15672,2018-02-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,MAR FY2008,20555,2018-03-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q3 FY2008,APR FY2008,30676,2018-04-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2008,MAY FY2008,19580,2018-05-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2008,JUN FY2008,22415,2018-06-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q4 FY2008,JUL FY2008,47590,2018-07-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,AUG FY2008,14044,2018-08-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,SEP FY2008,14314,2018-09-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q1 FY2008,OCT FY2008,21412,2018-10-01
TOASTBU,SFP10G,SFP-10G-LR-S,Q2 FY2008,NOV FY2008,16898,2018-11-01
