Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSCPU,UCS-CPU-I6238R,Q3 FY2011,MAR FY2011,0,2020-03-01
CSA,UCSCPU,UCS-CPU-I6238R,Q3 FY2011,APR FY2011,722,2020-04-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2011,MAY FY2011,2028,2020-05-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2011,JUN FY2011,192,2020-06-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2011,JUL FY2011,1022,2020-07-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2012,JAN FY2012,3734,2021-01-01
CSA,UCSCPU,UCS-CPU-I6238R,Q3 FY2012,FEB FY2012,751,2021-02-01
CSA,UCSCPU,UCS-CPU-I6238R,Q3 FY2012,MAR FY2012,330,2021-03-01
CSA,UCSCPU,UCS-CPU-I6238R,Q3 FY2012,APR FY2012,2137,2021-04-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,MAY FY2012,716,2021-05-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,JUN FY2012,1514,2021-06-01
CSA,UCSCPU,UCS-CPU-I6238R,Q4 FY2012,JUL FY2012,2354,2021-07-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2012,AUG FY2012,270,2021-08-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2012,SEP FY2012,436,2021-09-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2012,OCT FY2012,1020,2021-10-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2012,NOV FY2012,284,2021-11-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2012,DEC FY2012,584,2021-12-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2022,JAN FY2022,154,2022-01-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2022,AUG FY2022,303,2022-08-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2022,SEP FY2022,450,2022-09-01
CSA,UCSCPU,UCS-CPU-I6238R,Q1 FY2022,OCT FY2022,891,2022-10-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2022,NOV FY2022,311,2022-11-01
CSA,UCSCPU,UCS-CPU-I6238R,Q2 FY2022,DEC FY2022,477,2022-12-01
