Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2007,APR FY2007,14,2019-04-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,MAY FY2007,2,2019-05-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,JUN FY2007,252,2019-06-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2007,JUL FY2007,688,2019-07-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2011,JAN FY2011,959,2020-01-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2011,FEB FY2011,639,2020-02-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2011,MAR FY2011,1069,2020-03-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2011,APR FY2011,560,2020-04-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2011,MAY FY2011,164,2020-05-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2011,JUN FY2011,217,2020-06-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2011,JUL FY2011,572,2020-07-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2011,AUG FY2011,108,2020-08-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2011,SEP FY2011,294,2020-09-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2011,OCT FY2011,958,2020-10-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2011,NOV FY2011,593,2020-11-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2011,DEC FY2011,1026,2020-12-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2012,JAN FY2012,182,2021-01-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2012,FEB FY2012,136,2021-02-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2012,MAR FY2012,108,2021-03-01
CSA,UCSCPU,UCS-CPU-I6252,Q3 FY2012,APR FY2012,700,2021-04-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2012,MAY FY2012,90,2021-05-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2012,JUN FY2012,236,2021-06-01
CSA,UCSCPU,UCS-CPU-I6252,Q4 FY2012,JUL FY2012,450,2021-07-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2012,AUG FY2012,308,2021-08-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2012,SEP FY2012,306,2021-09-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2012,OCT FY2012,542,2021-10-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2012,NOV FY2012,92,2021-11-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2012,DEC FY2012,784,2021-12-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2022,JAN FY2022,52,2022-01-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2022,AUG FY2022,286,2022-08-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2022,SEP FY2022,510,2022-09-01
CSA,UCSCPU,UCS-CPU-I6252,Q1 FY2022,OCT FY2022,381,2022-10-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2022,NOV FY2022,196,2022-11-01
CSA,UCSCPU,UCS-CPU-I6252,Q2 FY2022,DEC FY2022,1516,2022-12-01
