Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSCPU,UCS-CPU-I6338N,Q3 FY2012,FEB FY2012,0,2021-02-01
CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,MAY FY2012,0,2021-05-01
CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,JUN FY2012,10,2021-06-01
CSA,UCSCPU,UCS-CPU-I6338N,Q4 FY2012,JUL FY2012,98,2021-07-01
CSA,UCSCPU,UCS-CPU-I6338N,Q2 FY2022,JAN FY2022,536,2022-01-01
CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,AUG FY2022,22,2022-08-01
CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,SEP FY2022,35,2022-09-01
CSA,UCSCPU,UCS-CPU-I6338N,Q1 FY2022,OCT FY2022,82,2022-10-01
CSA,UCSCPU,UCS-CPU-I6338N,Q2 FY2022,NOV FY2022,11,2022-11-01
CSA,UCSCPU,UCS-CPU-I6338N,Q2 FY2022,DEC FY2022,754,2022-12-01
