Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2007,APR FY2007,22,2019-04-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,MAY FY2007,24,2019-05-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,JUN FY2007,4,2019-06-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2007,JUL FY2007,2,2019-07-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2011,JAN FY2011,50,2020-01-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2011,FEB FY2011,0,2020-02-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2011,MAR FY2011,28,2020-03-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2011,APR FY2011,52,2020-04-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2011,MAY FY2011,8,2020-05-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2011,JUN FY2011,0,2020-06-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2011,JUL FY2011,52,2020-07-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2011,AUG FY2011,0,2020-08-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2011,SEP FY2011,16,2020-09-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2011,OCT FY2011,20,2020-10-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2011,NOV FY2011,0,2020-11-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2011,DEC FY2011,22,2020-12-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2012,JAN FY2012,38,2021-01-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2012,FEB FY2012,78,2021-02-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2012,MAR FY2012,96,2021-03-01
CSA,UCSCPU,UCS-CPU-I8280L,Q3 FY2012,APR FY2012,260,2021-04-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2012,MAY FY2012,22,2021-05-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2012,JUN FY2012,18,2021-06-01
CSA,UCSCPU,UCS-CPU-I8280L,Q4 FY2012,JUL FY2012,86,2021-07-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2012,AUG FY2012,17,2021-08-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2012,SEP FY2012,36,2021-09-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2012,OCT FY2012,18,2021-10-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2012,NOV FY2012,22,2021-11-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2012,DEC FY2012,158,2021-12-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2022,JAN FY2022,83,2022-01-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2022,AUG FY2022,35,2022-08-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2022,SEP FY2022,8,2022-09-01
CSA,UCSCPU,UCS-CPU-I8280L,Q1 FY2022,OCT FY2022,188,2022-10-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2022,NOV FY2022,37,2022-11-01
CSA,UCSCPU,UCS-CPU-I8280L,Q2 FY2022,DEC FY2022,4,2022-12-01
