Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSB,UCS-FI-6454,Q4 FY2008,JUN FY2008,28,2018-06-01
CSA,UCSB,UCS-FI-6454,Q4 FY2008,JUL FY2008,18,2018-07-01
CSA,UCSB,UCS-FI-6454,Q2 FY2007,JAN FY2007,169,2019-01-01
CSA,UCSB,UCS-FI-6454,Q3 FY2007,FEB FY2007,57,2019-02-01
CSA,UCSB,UCS-FI-6454,Q3 FY2007,MAR FY2007,137,2019-03-01
CSA,UCSB,UCS-FI-6454,Q3 FY2007,APR FY2007,240,2019-04-01
CSA,UCSB,UCS-FI-6454,Q4 FY2007,MAY FY2007,329,2019-05-01
CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUN FY2007,177,2019-06-01
CSA,UCSB,UCS-FI-6454,Q4 FY2007,JUL FY2007,358,2019-07-01
CSA,UCSB,UCS-FI-6454,Q1 FY2007,AUG FY2007,11,2019-08-01
CSA,UCSB,UCS-FI-6454,Q1 FY2007,SEP FY2007,16,2019-09-01
CSA,UCSB,UCS-FI-6454,Q1 FY2007,OCT FY2007,96,2019-10-01
CSA,UCSB,UCS-FI-6454,Q2 FY2007,NOV FY2007,122,2019-11-01
CSA,UCSB,UCS-FI-6454,Q2 FY2007,DEC FY2007,154,2019-12-01
CSA,UCSB,UCS-FI-6454,Q2 FY2011,JAN FY2011,282,2020-01-01
CSA,UCSB,UCS-FI-6454,Q3 FY2011,FEB FY2011,195,2020-02-01
CSA,UCSB,UCS-FI-6454,Q3 FY2011,MAR FY2011,229,2020-03-01
CSA,UCSB,UCS-FI-6454,Q3 FY2011,APR FY2011,394,2020-04-01
CSA,UCSB,UCS-FI-6454,Q4 FY2011,MAY FY2011,189,2020-05-01
CSA,UCSB,UCS-FI-6454,Q4 FY2011,JUN FY2011,248,2020-06-01
CSA,UCSB,UCS-FI-6454,Q4 FY2011,JUL FY2011,494,2020-07-01
CSA,UCSB,UCS-FI-6454,Q1 FY2011,AUG FY2011,103,2020-08-01
CSA,UCSB,UCS-FI-6454,Q1 FY2011,SEP FY2011,143,2020-09-01
CSA,UCSB,UCS-FI-6454,Q1 FY2011,OCT FY2011,344,2020-10-01
CSA,UCSB,UCS-FI-6454,Q2 FY2011,NOV FY2011,209,2020-11-01
CSA,UCSB,UCS-FI-6454,Q2 FY2011,DEC FY2011,353,2020-12-01
CSA,UCSB,UCS-FI-6454,Q2 FY2012,JAN FY2012,451,2021-01-01
CSA,UCSB,UCS-FI-6454,Q3 FY2012,FEB FY2012,274,2021-02-01
CSA,UCSB,UCS-FI-6454,Q3 FY2012,MAR FY2012,237,2021-03-01
CSA,UCSB,UCS-FI-6454,Q3 FY2012,APR FY2012,487,2021-04-01
CSA,UCSB,UCS-FI-6454,Q4 FY2012,MAY FY2012,260,2021-05-01
CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUN FY2012,258,2021-06-01
CSA,UCSB,UCS-FI-6454,Q4 FY2012,JUL FY2012,859,2021-07-01
CSA,UCSB,UCS-FI-6454,Q1 FY2012,AUG FY2012,165,2021-08-01
CSA,UCSB,UCS-FI-6454,Q1 FY2012,SEP FY2012,356,2021-09-01
CSA,UCSB,UCS-FI-6454,Q1 FY2012,OCT FY2012,464,2021-10-01
CSA,UCSB,UCS-FI-6454,Q2 FY2012,NOV FY2012,242,2021-11-01
CSA,UCSB,UCS-FI-6454,Q2 FY2012,DEC FY2012,432,2021-12-01
CSA,UCSB,UCS-FI-6454,Q2 FY2022,JAN FY2022,775,2022-01-01
CSA,UCSB,UCS-FI-6454,Q1 FY2022,AUG FY2022,284,2022-08-01
CSA,UCSB,UCS-FI-6454,Q1 FY2022,SEP FY2022,646,2022-09-01
CSA,UCSB,UCS-FI-6454,Q1 FY2022,OCT FY2022,719,2022-10-01
CSA,UCSB,UCS-FI-6454,Q2 FY2022,NOV FY2022,397,2022-11-01
CSA,UCSB,UCS-FI-6454,Q2 FY2022,DEC FY2022,372,2022-12-01
