Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2002,JUL FY2002,475,2017-07-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,JAN FY2008,474,2018-01-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,FEB FY2008,517,2018-02-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,MAR FY2008,603,2018-03-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2008,APR FY2008,1277,2018-04-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,MAY FY2008,472,2018-05-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUN FY2008,424,2018-06-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2008,JUL FY2008,2786,2018-07-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,AUG FY2008,60,2018-08-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,SEP FY2008,52,2018-09-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2008,OCT FY2008,174,2018-10-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,NOV FY2008,49,2018-11-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2008,DEC FY2008,227,2018-12-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,JAN FY2007,808,2019-01-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,FEB FY2007,1111,2019-02-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,MAR FY2007,4541,2019-03-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2007,APR FY2007,1507,2019-04-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,MAY FY2007,1374,2019-05-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUN FY2007,1436,2019-06-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2007,JUL FY2007,4048,2019-07-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,AUG FY2007,1040,2019-08-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,SEP FY2007,1555,2019-09-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2007,OCT FY2007,1822,2019-10-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,NOV FY2007,1091,2019-11-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2007,DEC FY2007,1185,2019-12-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,JAN FY2011,2073,2020-01-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,FEB FY2011,2030,2020-02-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,MAR FY2011,2100,2020-03-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2011,APR FY2011,6867,2020-04-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,MAY FY2011,1612,2020-05-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,JUN FY2011,2418,2020-06-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2011,JUL FY2011,6599,2020-07-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,AUG FY2011,1277,2020-08-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,SEP FY2011,1453,2020-09-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2011,OCT FY2011,3502,2020-10-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,NOV FY2011,2012,2020-11-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2011,DEC FY2011,2535,2020-12-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,JAN FY2012,8467,2021-01-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,FEB FY2012,3350,2021-02-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,MAR FY2012,2851,2021-03-01
CSA,UCSSSD,UCS-M2-240GB,Q3 FY2012,APR FY2012,4936,2021-04-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,MAY FY2012,4321,2021-05-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,JUN FY2012,4791,2021-06-01
CSA,UCSSSD,UCS-M2-240GB,Q4 FY2012,JUL FY2012,10549,2021-07-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,AUG FY2012,2553,2021-08-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,SEP FY2012,4219,2021-09-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2012,OCT FY2012,5588,2021-10-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,NOV FY2012,3737,2021-11-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2012,DEC FY2012,3287,2021-12-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,JAN FY2022,13681,2022-01-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,AUG FY2022,5467,2022-08-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,SEP FY2022,4695,2022-09-01
CSA,UCSSSD,UCS-M2-240GB,Q1 FY2022,OCT FY2022,14157,2022-10-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,NOV FY2022,9793,2022-11-01
CSA,UCSSSD,UCS-M2-240GB,Q2 FY2022,DEC FY2022,8548,2022-12-01
