Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2007,APR FY2007,324,2019-04-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,MAY FY2007,144,2019-05-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUN FY2007,54,2019-06-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2007,JUL FY2007,396,2019-07-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,JAN FY2011,3124,2020-01-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,FEB FY2011,2100,2020-02-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,MAR FY2011,1328,2020-03-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2011,APR FY2011,3082,2020-04-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,MAY FY2011,2198,2020-05-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,JUN FY2011,566,2020-06-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2011,JUL FY2011,2614,2020-07-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,AUG FY2011,198,2020-08-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,SEP FY2011,472,2020-09-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2011,OCT FY2011,406,2020-10-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,NOV FY2011,982,2020-11-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2011,DEC FY2011,1436,2020-12-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,JAN FY2012,3454,2021-01-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,FEB FY2012,3740,2021-02-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,MAR FY2012,1172,2021-03-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q3 FY2012,APR FY2012,4608,2021-04-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,MAY FY2012,2388,2021-05-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,JUN FY2012,1806,2021-06-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q4 FY2012,JUL FY2012,2988,2021-07-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,AUG FY2012,526,2021-08-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,SEP FY2012,1288,2021-09-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2012,OCT FY2012,3194,2021-10-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,NOV FY2012,1528,2021-11-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2012,DEC FY2012,3681,2021-12-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2022,JAN FY2022,3727,2022-01-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,AUG FY2022,1418,2022-08-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,SEP FY2022,2906,2022-09-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q1 FY2022,OCT FY2022,4520,2022-10-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2022,NOV FY2022,3194,2022-11-01
CSA,UCSMEM,UCS-ML-128G4RT-H,Q2 FY2022,DEC FY2022,2508,2022-12-01
