Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,FEB FY2012,152,2021-02-01
CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,MAR FY2012,8,2021-03-01
CSA,UCSMEM,UCS-ML-128G4RW,Q3 FY2012,APR FY2012,744,2021-04-01
CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,MAY FY2012,128,2021-05-01
CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,JUN FY2012,1138,2021-06-01
CSA,UCSMEM,UCS-ML-128G4RW,Q4 FY2012,JUL FY2012,2966,2021-07-01
CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2012,DEC FY2012,8,2021-12-01
CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2022,JAN FY2022,9294,2022-01-01
CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,AUG FY2022,208,2022-08-01
CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,SEP FY2022,1274,2022-09-01
CSA,UCSMEM,UCS-ML-128G4RW,Q1 FY2022,OCT FY2022,3848,2022-10-01
CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2022,NOV FY2022,6913,2022-11-01
CSA,UCSMEM,UCS-ML-128G4RW,Q2 FY2022,DEC FY2022,3551,2022-12-01
