Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2007,JAN FY2007,802,2019-01-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2007,FEB FY2007,4,2019-02-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2007,APR FY2007,1548,2019-04-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,MAY FY2007,1439,2019-05-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,JUN FY2007,2067,2019-06-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2007,JUL FY2007,9688,2019-07-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2011,JAN FY2011,9594,2020-01-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2011,FEB FY2011,6655,2020-02-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2011,MAR FY2011,9072,2020-03-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2011,APR FY2011,11647,2020-04-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2011,MAY FY2011,11568,2020-05-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2011,JUN FY2011,9820,2020-06-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2011,JUL FY2011,20710,2020-07-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2011,AUG FY2011,1845,2020-08-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2011,SEP FY2011,8229,2020-09-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2011,OCT FY2011,11376,2020-10-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2011,NOV FY2011,7948,2020-11-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2011,DEC FY2011,6586,2020-12-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2012,JAN FY2012,10530,2021-01-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2012,FEB FY2012,16038,2021-02-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2012,MAR FY2012,6781,2021-03-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q3 FY2012,APR FY2012,15094,2021-04-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2012,MAY FY2012,7124,2021-05-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2012,JUN FY2012,10004,2021-06-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q4 FY2012,JUL FY2012,13906,2021-07-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2012,AUG FY2012,5350,2021-08-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2012,SEP FY2012,4102,2021-09-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2012,OCT FY2012,10027,2021-10-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2012,NOV FY2012,10416,2021-11-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2012,DEC FY2012,17905,2021-12-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2022,JAN FY2022,5103,2022-01-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2022,AUG FY2022,5392,2022-08-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2022,SEP FY2022,8510,2022-09-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q1 FY2022,OCT FY2022,16487,2022-10-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2022,NOV FY2022,9655,2022-11-01
CSA,UCSMEM,UCS-ML-X64G4RT-H,Q2 FY2022,DEC FY2022,3812,2022-12-01
