Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2002,JUL FY2002,244,2017-07-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2008,JAN FY2008,3243,2018-01-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2008,FEB FY2008,3304,2018-02-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2008,MAR FY2008,7631,2018-03-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2008,APR FY2008,5772,2018-04-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2008,MAY FY2008,6812,2018-05-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2008,JUN FY2008,11114,2018-06-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2008,JUL FY2008,11926,2018-07-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2008,AUG FY2008,106,2018-08-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2008,SEP FY2008,69,2018-09-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2008,OCT FY2008,1402,2018-10-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2008,NOV FY2008,882,2018-11-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2008,DEC FY2008,2272,2018-12-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2007,JAN FY2007,10677,2019-01-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2007,FEB FY2007,13242,2019-02-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2007,MAR FY2007,11039,2019-03-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2007,APR FY2007,19558,2019-04-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,MAY FY2007,17183,2019-05-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,JUN FY2007,5962,2019-06-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2007,JUL FY2007,5847,2019-07-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2007,AUG FY2007,5909,2019-08-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2007,SEP FY2007,5051,2019-09-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2007,OCT FY2007,16162,2019-10-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2007,NOV FY2007,9447,2019-11-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2007,DEC FY2007,23601,2019-12-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2011,JAN FY2011,3548,2020-01-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2011,FEB FY2011,2071,2020-02-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2011,MAR FY2011,2509,2020-03-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2011,APR FY2011,3091,2020-04-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2011,MAY FY2011,3261,2020-05-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2011,JUN FY2011,3675,2020-06-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2011,JUL FY2011,4296,2020-07-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2011,AUG FY2011,4365,2020-08-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2011,SEP FY2011,2336,2020-09-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2011,OCT FY2011,6332,2020-10-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2011,NOV FY2011,6715,2020-11-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2011,DEC FY2011,5898,2020-12-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2012,JAN FY2012,5292,2021-01-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2012,FEB FY2012,2241,2021-02-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2012,MAR FY2012,2585,2021-03-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q3 FY2012,APR FY2012,1990,2021-04-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2012,MAY FY2012,1766,2021-05-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2012,JUN FY2012,936,2021-06-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q4 FY2012,JUL FY2012,1920,2021-07-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2012,AUG FY2012,2459,2021-08-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2012,SEP FY2012,1682,2021-09-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2012,OCT FY2012,2653,2021-10-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2012,NOV FY2012,2705,2021-11-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2012,DEC FY2012,1806,2021-12-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2022,JAN FY2022,490,2022-01-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2022,AUG FY2022,1045,2022-08-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2022,SEP FY2022,717,2022-09-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q1 FY2022,OCT FY2022,2828,2022-10-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2022,NOV FY2022,1142,2022-11-01
CSA,UCSMEM,UCS-MR-X32G2RS-H=,Q2 FY2022,DEC FY2022,781,2022-12-01
