Business Unit,Product Family,PLID,Fiscal Quarter,Fiscal Month,Booked_Qty,Booking_Date
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,MAR FY2007,1920,2019-03-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2007,APR FY2007,1525,2019-04-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,MAY FY2007,5841,2019-05-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUN FY2007,11255,2019-06-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2007,JUL FY2007,29520,2019-07-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,JAN FY2011,48744,2020-01-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,FEB FY2011,19207,2020-02-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,MAR FY2011,26446,2020-03-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2011,APR FY2011,72779,2020-04-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,MAY FY2011,24508,2020-05-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUN FY2011,26436,2020-06-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2011,JUL FY2011,68037,2020-07-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,AUG FY2011,7489,2020-08-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,SEP FY2011,10981,2020-09-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2011,OCT FY2011,29381,2020-10-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,NOV FY2011,20561,2020-11-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2011,DEC FY2011,31646,2020-12-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,JAN FY2012,85545,2021-01-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,FEB FY2012,37018,2021-02-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,MAR FY2012,40647,2021-03-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q3 FY2012,APR FY2012,66837,2021-04-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,MAY FY2012,42365,2021-05-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUN FY2012,51624,2021-06-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q4 FY2012,JUL FY2012,92246,2021-07-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,AUG FY2012,25231,2021-08-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,SEP FY2012,40868,2021-09-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2012,OCT FY2012,52407,2021-10-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,NOV FY2012,38975,2021-11-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2012,DEC FY2012,42036,2021-12-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,JAN FY2022,45210,2022-01-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,AUG FY2022,53002,2022-08-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,SEP FY2022,37332,2022-09-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q1 FY2022,OCT FY2022,53460,2022-10-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,NOV FY2022,39807,2022-11-01
CSA,UCSMEM,UCS-MR-X64G2RT-H,Q2 FY2022,DEC FY2022,45850,2022-12-01
